total_return,annual_return,max_drawdown,calmar_calc,win_rate,num_trades,param_str
7.277791649380028,3.0492076669141364,-0.21270607606056102,14.335310600370322,0.6521739130434783,0,"ATR=3.0 sym=0.95 rf=0.1 S1=(25, 20) dd=0.25"
7.277791649380028,3.0492076669141364,-0.21270607606056102,14.335310600370322,0.6521739130434783,0,"ATR=3.0 sym=0.95 rf=0.1 S1=(25, 20) dd=0.99"
6.1383971340508054,2.6712553915538315,-0.19002193465990458,14.057616013302686,0.75,0,"ATR=3.0 sym=0.5 rf=0.1 S1=(25, 20) dd=0.25"
6.1383971340508054,2.6712553915538315,-0.19002193465990458,14.057616013302686,0.75,0,"ATR=3.0 sym=0.5 rf=0.1 S1=(25, 20) dd=0.99"
4.789282127435576,2.1960765185200692,-0.19954665141933614,11.005328843655397,0.75,0,"ATR=5.0 sym=0.5 rf=0.1 S1=(25, 20) dd=0.25"
4.789282127435576,2.1960765185200692,-0.19954665141933614,11.005328843655397,0.75,0,"ATR=5.0 sym=0.5 rf=0.1 S1=(25, 20) dd=0.99"
4.958537617702454,2.257602835106347,-0.21415573794739595,10.541874136759727,0.6666666666666666,0,"ATR=3.0 sym=0.95 rf=0.05 S1=(25, 20) dd=0.25"
4.958537617702454,2.257602835106347,-0.21415573794739595,10.541874136759727,0.6666666666666666,0,"ATR=3.0 sym=0.95 rf=0.05 S1=(25, 20) dd=0.99"
4.037189446296202,1.9149244467207844,-0.18613832057788127,10.287642226360207,0.7857142857142857,0,"ATR=5.0 sym=0.95 rf=0.05 S1=(10, 5) dd=0.25"
4.037189446296202,1.9149244467207844,-0.18613832057788127,10.287642226360207,0.7857142857142857,0,"ATR=5.0 sym=0.95 rf=0.05 S1=(10, 5) dd=0.99"
3.9965634770677267,1.8993472918026666,-0.18613832057788127,10.203956315421733,0.7142857142857143,0,"ATR=5.0 sym=0.5 rf=0.05 S1=(10, 5) dd=0.25"
3.9965634770677267,1.8993472918026666,-0.18613832057788127,10.203956315421733,0.7142857142857143,0,"ATR=5.0 sym=0.5 rf=0.05 S1=(10, 5) dd=0.99"
5.833044582716327,2.5665765634926365,-0.25452425721425564,10.0838190889292,0.625,0,"ATR=5.0 sym=0.5 rf=0.1 S1=(20, 15) dd=0.25"
4.2796672785570005,2.0070299997188275,-0.2121879815141543,9.45873552967912,0.7142857142857143,0,"ATR=5.0 sym=0.5 rf=0.05 S1=(25, 20) dd=0.25"
4.2796672785570005,2.0070299997188275,-0.2121879815141543,9.45873552967912,0.7142857142857143,0,"ATR=5.0 sym=0.5 rf=0.05 S1=(25, 20) dd=0.99"
4.682211623583477,2.156840826639984,-0.2282511962262218,9.449417406348747,0.8333333333333334,0,"ATR=5.0 sym=0.5 rf=0.1 S1=(10, 5) dd=0.25"
4.682211623583477,2.156840826639984,-0.2282511962262218,9.449417406348747,0.8333333333333334,0,"ATR=5.0 sym=0.5 rf=0.1 S1=(10, 5) dd=0.99"
4.094414160116077,1.9367941361066423,-0.20908945630546527,9.2629928372721,0.7142857142857143,0,"ATR=5.0 sym=0.95 rf=0.05 S1=(25, 20) dd=0.25"
4.094414160116077,1.9367941361066423,-0.20908945630546527,9.2629928372721,0.7142857142857143,0,"ATR=5.0 sym=0.95 rf=0.05 S1=(25, 20) dd=0.99"
4.273465078689902,2.0046921615321462,-0.2293825476117073,8.739514764330005,0.6470588235294118,0,"ATR=5.0 sym=0.25 rf=0.1 S1=(10, 5) dd=0.25"
4.273465078689902,2.0046921615321462,-0.2293825476117073,8.739514764330005,0.6470588235294118,0,"ATR=5.0 sym=0.25 rf=0.1 S1=(10, 5) dd=0.99"
4.697237473465427,2.162362000104469,-0.25454207465547096,8.49510637104408,0.7692307692307693,0,"ATR=5.0 sym=0.95 rf=0.1 S1=(25, 20) dd=0.25"
3.635769351079875,1.759069698355043,-0.22434621789982911,7.840870752456678,0.5909090909090909,0,"ATR=5.0 sym=0.25 rf=0.05 S1=(10, 5) dd=0.25"
3.635769351079875,1.759069698355043,-0.22434621789982911,7.840870752456678,0.5909090909090909,0,"ATR=5.0 sym=0.25 rf=0.05 S1=(10, 5) dd=0.99"
