date,cash,stock_value,equity,drawdown,stock_weight,positions,risk_off_remaining_days
2025-01-02,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-01-03,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-01-06,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-01-07,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-01-08,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-01-09,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-01-10,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-01-13,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-01-14,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-01-15,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-01-16,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-01-17,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-01-20,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-01-21,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-01-22,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-01-23,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-01-24,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-01-27,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-02-05,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-02-06,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-02-07,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-02-10,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-02-11,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-02-12,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-02-13,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-02-14,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-02-17,2000000.0,0.0,2000000.0,0.0,0.0,0,0
2025-02-18,1006550.72710175,964440.0,1970990.72710175,-0.01450463644912503,0.48931737056833546,1,0
2025-02-19,1006550.72710175,983745.0000000001,1990295.7271017502,-0.004852136449124855,0.49427076921504537,1,0
2025-02-20,41301.000030050054,1948482.0,1989783.00003005,-0.005108499984974979,0.979243465227401,2,0
2025-02-21,41301.000030050054,2047240.0,2088541.00003005,0.0,0.9802249512796465,2,0
2025-02-24,41301.000030050054,2051493.0,2092794.00003005,0.0,0.9802651383607479,2,0
2025-02-25,41301.000030050054,2060950.0,2102251.00003005,0.0,0.9803539158599712,2,0
2025-02-26,41301.000030050054,2085708.0,2127009.00003005,0.0,0.9805825927255284,2,0
2025-02-27,41301.000030050054,2086034.0,2127335.00003005,0.0,0.9805855683145971,2,0
2025-02-28,41301.000030050054,1962832.0,2004133.00003005,-0.05791377474551951,0.9793920862390716,2,0
2025-03-03,961944.9741668501,1022760.0000000001,1984704.97416685,-0.06704634007393528,0.5153209234180207,1,0
2025-03-04,961944.9741668501,1069470.0,2031414.97416685,-0.04508929052633692,0.5264655491862881,1,0
2025-03-05,961944.9741668501,1050975.0,2012919.97416685,-0.053783266792293505,0.5221146461299336,1,0
2025-03-06,961944.9741668501,1081755.0,2043699.97416685,-0.03931445957595703,0.5293120387893513,1,0
2025-03-07,961944.9741668501,1067985.0,2029929.97416685,-0.04578734701484444,0.5261191339560056,1,0
2025-03-10,961944.9741668501,1082430.0,2044374.97416685,-0.038997161172089956,0.5294674478399569,1,0
2025-03-11,961944.9741668501,1059210.0,2021154.97416685,-0.04991222626511582,0.5240617436753567,1,0
2025-03-12,961944.9741668501,1048410.0,2010354.97416685,-0.0549890007269882,0.5215049150384458,1,0
2025-03-13,961944.9741668501,1009665.0000000001,1971609.97416685,-0.07320192910895573,0.5121017915455909,1,0
2025-03-14,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-03-17,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-03-18,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-03-19,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-03-20,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-03-21,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-03-24,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-03-25,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-03-26,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-03-27,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-03-28,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-03-31,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-04-01,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-04-02,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-04-03,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-04-07,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-04-08,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-04-09,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-04-10,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-04-11,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-04-14,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-04-15,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-04-16,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-04-17,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
2025-04-18,1969893.33987085,0.0,1969893.33987085,-0.07400887032694714,0.0,0,0
