symbol,system,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,reason,is_forced_exit
300054.SZ,S1_25_20,2025-02-20,29.87493,2025-03-03,28.52573,32300,-44605.75293489988,-0.04621161931868281,exit_signal,False
688008.SH,S1_25_20,2025-02-18,73.566765,2025-03-14,74.72262,13500,14499.092805750086,0.014594698694026922,exit_signal,False
603986.SH,S1_25_20,2025-04-30,126.40317,2025-05-26,114.932505,7700,-89324.09605349996,-0.09174653483095598,exit_signal,False
300394.SZ,S1_25_20,2025-05-30,40.930454999999995,2025-07-25,61.74911,21600,448350.69403080014,0.5069758288808415,exit_signal,False
300502.SZ,S1_25_20,2025-05-09,53.956965,2025-08-27,206.83653,17700,2702752.98375105,2.8291456543670357,exit_signal,False
002409.SZ,S1_25_20,2025-07-25,57.47177978155339,2025-09-05,55.99199000000001,41200,-63523.18618849991,-0.02681946695572787,exit_signal,False
300394.SZ,S2_55_20,2025-08-27,105.30262499999999,2025-09-05,125.647145,24300,491161.5993649503,0.19188837497282266,exit_signal,False
603986.SH,S2_55_20,2025-09-15,193.32661499999998,2025-10-15,195.172365,14100,23005.759141350165,0.008437145532518595,exit_signal,False
002409.SZ,S2_55_20,2025-09-19,63.91194,2025-10-15,76.39178500000001,41000,508381.87759000063,0.19395185372605725,exit_signal,False
603986.SH,S2_55_20,2025-10-28,236.27808,2025-11-17,207.406245,12200,-355125.44972399995,-0.12315959841034008,exit_signal,False
300394.SZ,S1_25_20,2025-12-05,137.68881,2025-12-17,143.458235,18400,103285.67254960025,0.04075616797414008,exit_signal,False
300054.SZ,S1_25_20,2025-12-15,37.77800688841201,2026-01-30,43.308335,69900,383352.0431596008,0.14512781527242694,exit_signal,False
300308.SZ,S2_55_20,2025-10-27,503.63169,2026-02-09,560.05983,5900,329391.1155110998,0.11081959308659582,exit_signal,False
300394.SZ,S2_55_20,2026-02-02,178.19905500000002,2026-03-09,218.63063000000002,16900,679434.2621735502,0.22554077760664876,exit_signal,False
300502.SZ,S1_25_20,2026-03-20,334.016925,2026-04-27,391.72404000000006,10600,607311.4253193,0.17147738183076847,exit_signal,False
300054.SZ,S2_55_20,2026-03-30,57.12629437759337,2026-06-01,67.89603500000001,72300,773482.8241867009,0.18721718606549245,exit_signal,False
300308.SZ,S1_25_20,2026-03-23,589.904805,2026-06-09,1140.399515,5800,3186551.4298897,0.9310665756527856,exit_signal,False
300394.SZ,S2_55_20,2026-06-01,328.00391999999994,2026-06-11,294.01292000000007,14700,-504571.7892263988,-0.10461557049938573,exit_signal,False
