date,nav,cash,position_value,close,drawdown,daily_return,peak,dd,daily_ret,month
2025-04-21,2000000.0,2000000.0,0.0,80.68697357177734,0.0,0.0,2000000.0,0.0,,2025-04
2025-04-22,2000000.0,2000000.0,0.0,79.57390594482422,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-23,2000000.0,2000000.0,0.0,83.00252532958984,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-24,2000000.0,2000000.0,0.0,80.82611083984375,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-25,2000000.0,2000000.0,0.0,84.74168395996094,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-28,2000000.0,2000000.0,0.0,82.87333679199219,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-29,2000000.0,2000000.0,0.0,82.5751953125,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-30,2000000.0,2000000.0,0.0,82.97271728515625,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-05-06,2000000.0,2000000.0,0.0,86.11315155029297,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-07,2000000.0,2000000.0,0.0,86.11315155029297,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-08,2000000.0,2000000.0,0.0,95.89217376708984,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-09,2000000.0,2000000.0,0.0,94.212646484375,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-12,2000000.0,2000000.0,0.0,96.66734313964844,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-13,2000000.0,2000000.0,0.0,95.83255004882812,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-14,2000000.0,2000000.0,0.0,97.78040313720703,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-15,2000000.0,2000000.0,0.0,93.53685760498047,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-16,1999847.4022400002,1522979.4022400002,476868.0,97.223876953125,0.0,-7.629887999990024e-05,2000000.0,7.629887999990024e-05,-7.629887999993645e-05,2025-05
2025-05-19,1986958.806689463,1522979.4022400002,463979.4044494629,94.6896743774414,0.006520596655268455,-0.006444789505489659,2000000.0,0.006520596655268455,-0.0064447895054896565,2025-05
2025-05-20,1990270.1721984963,1522979.4022400002,467290.7699584961,95.36546325683594,0.0048649139007518535,0.001666549652607231,2000000.0,0.0048649139007518535,0.0016665496526071522,2025-05
2025-05-21,1989150.1465637307,1522979.4022400002,466170.74432373047,95.13688659667969,0.0054249267181346655,-0.0005627505503579044,2000000.0,0.0054249267181346655,-0.0005627505503579266,2025-05
2025-05-22,1982965.7059509377,1522979.4022400002,459986.3037109375,93.874755859375,0.00851714702453115,-0.0031090868748528755,2000000.0,0.00851714702453115,-0.0031090868748528955,2025-05
2025-05-23,1970353.3425170998,1522979.4022400002,447373.9402770996,91.3008041381836,0.014823328741450096,-0.006360353785235832,2000000.0,0.014823328741450096,-0.006360353785235806,2025-05
2025-05-26,1972739.4532043557,1522979.4022400002,449760.05096435547,91.78776550292969,0.013630273397822166,0.0012110064909513312,2000000.0,0.013630273397822166,0.0012110064909514051,2025-05
2025-05-27,1962026.273425303,1522979.4022400002,439046.87118530273,89.60140228271484,0.018986863287348534,-0.0054306105966761735,2000000.0,0.018986863287348534,-0.005430610596676155,2025-05
2025-05-28,1974005.538256846,1522979.4022400002,451026.1360168457,92.04615020751953,0.012997230871577049,0.006105557807148823,2000000.0,0.012997230871577049,0.00610555780714872,2025-05
2025-05-29,1985303.142626963,1522979.4022400002,462323.7403869629,94.3517837524414,0.007348428686518455,0.005723187777929735,2000000.0,0.007348428686518455,0.005723187777929795,2025-05
2025-05-30,1978534.3148071389,1522979.4022400002,455554.9125671387,92.97039031982422,0.010732842596430564,-0.0034094681434230097,2000000.0,0.010732842596430564,-0.0034094681434230223,2025-05
2025-06-03,1969817.6667053322,1522979.4022400002,446838.26446533203,91.19148254394531,0.015091166647333884,-0.004405608756225343,2000000.0,0.015091166647333884,-0.00440560875622531,2025-06
2025-06-04,1996795.4804260354,1522979.4022400002,473816.07818603516,96.69715881347656,0.0016022597869823222,0.01369558928051729,2000000.0,0.0016022597869823222,0.013695589280517284,2025-06
2025-06-05,2023968.0649597268,1522979.4022400002,500988.66271972656,102.24258422851562,0.0,0.013608095971798712,2023968.0649597268,0.0,0.013608095971798795,2025-06
