date,action,price,shares,reason,strength,price_gain,trend,pnl,pnl_pct
2025-07-11,BUY,57.97,6200,多数表决看多(2/3票买入),0.42377511140432306,0.05643340157162106,mixed,,
2025-08-01,BUY(加码),64.67,3100,盈利+7%加仓第1次,0.5,,,,
2025-10-13,SELL,68.17,9300,多数表决看空(3/3票卖出),,,,73253.14508000005,0.13232932838713252
2026-01-09,BUY,70.34,5300,多数表决看多(2/3票买入),0.7060297614181523,0.11103813229031274,mixed,,
2026-01-19,BUY(加码),76.3,2600,盈利+6%加仓第1次,0.5,,,,
2026-01-21,BUY(加码),79.2,100,盈利+9%加仓第2次,0.5,,,,
2026-03-17,SELL(止盈),79.24,8000,"移动止盈: 峰值96.12回吐71%盈利, 触发止盈(阈值70%, 盈利10%)",,,,53981.225600000005,0.09466035344378017
2026-04-17,BUY,99.24,3800,多数表决看多(2/3票买入),0.8500000000000001,0.20241059081067866,mixed,,
2026-04-24,BUY(加码),109.94,1900,盈利+7%加仓第1次,0.5,,,,
2026-04-27,BUY(加码),111.71,100,盈利+8%加仓第2次,0.5,,,,
2026-04-30,SELL(止盈),104.26,5800,"移动止盈: 峰值114.26回吐88%盈利, 触发止盈(阈值70%, 盈利1%)",,,,6740.785440000007,0.012624566914893495
2026-05-06,BUY,105.78,6000,多数表决看多(3/3票买入),0.4833333333333334,0.211516939619086,up,,
