date,action,price,shares,reason,strength,price_gain,trend,pnl,pnl_pct
2025-06-24,BUY,123.51,4800,多数表决看多(2/3票买入),0.2516122367759579,0.052688261718113354,up,,
2025-07-10,SELL,117.77,4800,多数表决看空(2/3票卖出),,,,-28298.190719999955,-0.04647396971905116
2025-08-18,BUY,125.64,4700,多数表决看多(3/3票买入),0.23736013685504598,0.053575275041926974,up,,
2025-11-21,SELL,182.06,4700,多数表决看空(3/3票卖出),,,,264044.49976000004,0.4490608086596625
2025-12-18,BUY,214.35,1800,多数表决看多(2/3票买入),0.7,0.02516419834175115,mixed,,
2026-01-05,BUY(加码),235.57,900,盈利+6%加仓第1次,0.5,,,,
2026-03-23,SELL,272.68,2700,多数表决看空(2/3票卖出),,,,137421.16848,0.23148719647131433
2026-04-22,BUY,313.84,1300,多数表决看多(2/3票买入),0.26838327019408587,0.10097468642481208,mixed,,
2026-05-06,BUY(加码),344.13,600,盈利+6%加仓第1次,0.5,,,,
2026-05-07,BUY(加码),350.0,100,盈利+8%加仓第2次,0.5,,,,
