date,action,price,shares,reason,strength,price_gain,trend,pnl,pnl_pct
2025-07-01,BUY,29.98,12000,多数表决看多(2/3票买入),0.75,0.05671021454070732,mixed,,
2025-07-09,SELL,28.18,12000,多数表决看空(2/3票卖出),,,,-22046.371199999994,-0.06004002668445633
2025-08-19,BUY,30.59,19400,多数表决看多(3/3票买入),0.22989887715422466,0.08076425609550851,up,,
2025-09-04,SELL,29.2,19400,多数表决看空(2/3票卖出),,,,-27713.753600000055,-0.04543968617195164
2025-09-22,BUY,35.09,16600,多数表决看多(3/3票买入),0.24371419864645824,0.17994824364944262,up,,
2025-11-21,SELL,33.23,16600,多数表决看空(3/3票卖出),,,,-31604.135759999976,-0.053006554573952876
2025-12-10,BUY,35.74,16100,多数表决看多(3/3票买入),0.22085120737362893,0.03442287720146805,up,,
2026-03-09,SELL,41.51,16100,多数表决看空(2/3票卖出),,,,92014.82947999996,0.16144376049244533
2026-03-27,BUY,53.06,11300,多数表决看多(2/3票买入),0.875,0.19749534849934935,up,,
