date,action,price,shares,reason,strength,price_gain,trend,pnl,pnl_pct
2025-06-16,BUY,68.9,8700,多数表决看多(3/3票买入),0.4833333333333334,0.4188104615628888,up,,
2025-07-07,SELL(止损),57.61,8700,"ATR止损: 亏损-16.31% >= -15.00% (ATR=4.76, 2.5×ATR=11.91)",,,,-98884.59324000002,-0.1638606676342526
2025-08-04,BUY,67.76,8400,多数表决看多(3/3票买入),0.25338333872960334,0.1406596340272883,up,,
2025-10-10,SELL(止盈),104.17,8400,"移动止盈: 峰值153.85回吐58%盈利, 触发止盈(阈值50%, 盈利54%)",,,,304688.96303999994,0.5373376623376622
2025-11-25,BUY,142.7,2700,多数表决看多(2/3票买入),0.6012410067605357,0.31773483734446584,mixed,,
2025-12-03,SELL(止损),117.93,2700,"ATR止损: 亏损-17.27% >= -15.00% (ATR=10.32, 2.5×ATR=25.80)",,,,-67299.30251999997,-0.17358093903293612
2025-12-04,BUY,117.2,5400,多数表决看多(2/3票买入),0.525,0.06614942870325248,up,,
2026-01-20,SELL(止盈),134.05,5400,"移动止盈: 峰值174.55回吐70%盈利, 触发止盈(阈值70%, 盈利14%)",,,,90034.49160000007,0.14377133105802054
2026-02-02,BUY,168.22,3900,多数表决看多(3/3票买入),0.25573653903463006,0.22714695318266945,up,,
2026-02-05,SELL(止盈),173.59,3900,"移动止盈: 峰值196.02回吐80%盈利, 触发止盈(阈值70%, 盈利3%)",,,,20049.358679999947,0.03192248246344076
2026-02-06,BUY,165.53,4000,多数表决看多(2/3票买入),0.5185887636259389,0.15836039795806175,up,,
2026-06-01,SELL,219.79,4000,多数表决看空(3/3票卖出),,,,215879.50879999995,0.32779556575847274
