date,close,signal,strength,reason
2024-04-19,169.18521118164062,buy,0.39999999999999997,多数表决看多(3/3票买入)
2024-04-22,156.9547119140625,hold,0.0,信号不一致(买1/卖1/持1)
2024-04-23,156.1122283935547,hold,0.0,信号不一致(买1/卖0/持2)
2024-04-24,166.7767791748047,hold,0.0,信号不一致(买1/卖0/持2)
2024-04-25,162.6933135986328,hold,0.0,信号不一致(买1/卖0/持2)
2024-04-26,183.21954345703125,buy,0.7166666666666667,多数表决看多(3/3票买入)
2024-04-29,186.0343475341797,buy,0.39999999999999997,多数表决看多(3/3票买入)
2024-04-30,184.65667724609375,buy,0.39999999999999997,多数表决看多(3/3票买入)
2024-05-06,129.7100830078125,sell,0.7666666666666666,多数表决看空(3/3票卖出)
2024-05-07,125.15797424316406,sell,0.8,多数表决看空(2/3票卖出)
2024-05-08,123.7491455078125,hold,0.0,信号不一致(买0/卖0/持3)
2024-05-09,122.60227966308594,hold,0.0,信号不一致(买0/卖0/持3)
2024-05-10,121.20054626464844,hold,0.0,信号不一致(买0/卖0/持3)
2024-05-13,121.44831848144531,hold,0.0,信号不一致(买0/卖0/持3)
2024-05-14,117.11568450927734,hold,0.0,信号不一致(买0/卖1/持2)
2024-05-15,118.06433868408203,hold,0.0,信号不一致(买0/卖0/持3)
2024-05-16,120.70498657226562,hold,0.0,信号不一致(买0/卖0/持3)
2024-05-17,120.7616195678711,hold,0.0,信号不一致(买0/卖0/持3)
2024-05-20,125.20751953125,hold,0.0,信号不一致(买0/卖0/持3)
2024-05-21,125.6110610961914,hold,0.0,信号不一致(买0/卖0/持3)
2024-05-22,122.59520721435547,hold,0.0,信号不一致(买0/卖0/持3)
2024-05-23,123.03413391113281,hold,0.0,信号不一致(买0/卖0/持3)
2024-05-24,117.08736419677734,hold,0.0,信号不一致(买0/卖0/持3)
2024-05-27,119.21121215820312,hold,0.0,信号不一致(买0/卖0/持3)
2024-05-28,113.98656463623047,hold,0.0,信号不一致(买0/卖1/持2)
2024-05-29,113.97948455810547,hold,0.0,信号不一致(买0/卖0/持3)
2024-05-30,113.25029754638672,hold,0.0,信号不一致(买0/卖1/持2)
2024-05-31,111.3388442993164,hold,0.0,信号不一致(买0/卖1/持2)
2024-06-03,119.18289184570312,hold,0.0,信号不一致(买0/卖0/持3)
2024-06-04,122.474853515625,hold,0.0,信号不一致(买0/卖0/持3)
2024-06-05,118.19884490966797,hold,0.0,信号不一致(买0/卖0/持3)
2024-06-06,124.64292907714844,hold,0.0,信号不一致(买1/卖0/持2)
2024-06-07,118.76954650878906,hold,0.0,信号不一致(买0/卖0/持3)
2024-06-11,118.27265167236328,hold,0.0,信号不一致(买0/卖0/持3)
2024-06-12,118.4714126586914,hold,0.0,信号不一致(买0/卖1/持2)
2024-06-13,122.93358612060547,hold,0.0,信号不一致(买0/卖0/持3)
2024-06-14,137.44313049316406,hold,0.0,信号不一致(买1/卖0/持2)
2024-06-17,141.62705993652344,hold,0.0,信号不一致(买1/卖0/持2)
2024-06-18,145.9998016357422,hold,0.0,信号不一致(买1/卖0/持2)
2024-06-19,145.0954132080078,hold,0.0,信号不一致(买1/卖0/持2)
2024-06-20,143.80348205566406,hold,0.0,信号不一致(买1/卖0/持2)
2024-06-21,142.114013671875,hold,0.0,信号不一致(买1/卖0/持2)
2024-06-24,139.34130859375,hold,0.0,信号不一致(买1/卖1/持1)
2024-06-25,134.064208984375,sell,0.6499999999999999,多数表决看空(2/3票卖出)
2024-06-26,139.13259887695312,hold,0.0,信号不一致(买1/卖1/持1)
2024-06-27,135.29652404785156,sell,0.6499999999999999,多数表决看空(2/3票卖出)
2024-06-28,137.02574157714844,hold,0.0,信号不一致(买0/卖1/持2)
2024-07-01,144.00222778320312,buy,0.4,多数表决看多(2/3票买入)
2024-07-02,144.70782470703125,buy,0.4,多数表决看多(2/3票买入)
2024-07-03,142.6109161376953,buy,0.4,多数表决看多(2/3票买入)
2024-07-04,142.1239471435547,buy,0.4,多数表决看多(2/3票买入)
2024-07-05,140.62330627441406,buy,0.4,多数表决看多(2/3票买入)
2024-07-08,143.4954071044922,buy,0.4,多数表决看多(2/3票买入)
2024-07-09,153.3738250732422,buy,0.39999999999999997,多数表决看多(3/3票买入)
2024-07-10,156.55398559570312,buy,0.39999999999999997,多数表决看多(3/3票买入)
2024-07-11,152.31044006347656,buy,0.39999999999999997,多数表决看多(3/3票买入)
2024-07-12,149.1898956298828,buy,0.39999999999999997,多数表决看多(3/3票买入)
2024-07-15,148.6532440185547,buy,0.45,多数表决看多(2/3票买入)
2024-07-16,147.20230102539062,buy,0.45,多数表决看多(2/3票买入)
2024-07-17,140.83200073242188,hold,0.0,信号不一致(买1/卖1/持1)
2024-07-18,139.13259887695312,hold,0.0,信号不一致(买0/卖1/持2)
2024-07-19,134.14370727539062,hold,0.0,信号不一致(买0/卖1/持2)
2024-07-22,133.7660675048828,hold,0.0,信号不一致(买0/卖0/持3)
2024-07-23,130.10885620117188,sell,0.8,多数表决看空(2/3票卖出)
2024-07-24,129.53245544433594,hold,0.0,信号不一致(买0/卖1/持2)
2024-07-25,121.51244354248047,hold,0.0,信号不一致(买0/卖1/持2)
2024-07-26,123.48018646240234,hold,0.0,信号不一致(买0/卖0/持3)
2024-07-29,128.78709411621094,hold,0.0,信号不一致(买0/卖0/持3)
2024-07-30,126.86906433105469,hold,0.0,信号不一致(买0/卖0/持3)
2024-07-31,128.69764709472656,hold,0.0,信号不一致(买0/卖0/持3)
2024-08-01,129.09518432617188,hold,0.0,信号不一致(买0/卖0/持3)
2024-08-02,118.24283599853516,hold,0.0,信号不一致(买0/卖1/持2)
2024-08-05,109.43772888183594,hold,0.0,信号不一致(买0/卖1/持2)
2024-08-06,113.77072143554688,hold,0.0,信号不一致(买0/卖0/持3)
2024-08-07,112.61790466308594,hold,0.0,信号不一致(买0/卖0/持3)
2024-08-08,109.81537628173828,hold,0.0,信号不一致(买0/卖0/持3)
2024-08-09,111.83279418945312,hold,0.0,信号不一致(买0/卖0/持3)
2024-08-12,112.64771270751953,hold,0.0,信号不一致(买0/卖0/持3)
2024-08-13,116.2154769897461,hold,0.0,信号不一致(买0/卖0/持3)
2024-08-14,115.06266021728516,hold,0.0,信号不一致(买0/卖0/持3)
2024-08-15,114.38687133789062,hold,0.0,信号不一致(买0/卖0/持3)
2024-08-16,119.21675872802734,hold,0.0,信号不一致(买0/卖0/持3)
2024-08-19,120.88636016845703,hold,0.0,信号不一致(买0/卖0/持3)
2024-08-20,120.93605041503906,hold,0.0,信号不一致(买0/卖0/持3)
2024-08-21,121.46276092529297,hold,0.0,信号不一致(买0/卖0/持3)
2024-08-22,120.63790130615234,hold,0.0,信号不一致(买0/卖0/持3)
2024-08-23,119.17700958251953,hold,0.0,信号不一致(买0/卖0/持3)
2024-08-26,113.63157653808594,hold,0.0,信号不一致(买0/卖0/持3)
2024-08-27,112.54833984375,hold,0.0,信号不一致(买0/卖1/持2)
2024-08-28,111.86260986328125,hold,0.0,信号不一致(买0/卖1/持2)
2024-08-29,105.97928619384766,sell,0.8,多数表决看空(2/3票卖出)
