date,action,price,shares,reason,strength,price_gain,trend,pnl,pnl_pct
2025-06-13,BUY,20.8,17300,多数表决看多(2/3票买入),0.4,0.010456046440940503,mixed,,
2025-06-27,BUY(加码),22.81,8600,盈利+4%加仓第1次,0.5,,,,
2025-11-04,SELL,52.83,34500,多数表决看空(2/3票卖出),,,,1072151.9765167236,1.425407987158155
2025-11-26,BUY,57.44,6200,多数表决看多(2/3票买入),0.35,0.01086377841945098,mixed,,
2025-12-04,SELL,54.34,6200,多数表决看空(2/3票卖出),,,,-18905.912139892578,-0.05308740716790751
2025-12-08,BUY,58.66,6100,多数表决看多(2/3票买入),0.55,0.03614129074501252,mixed,,
2025-12-17,BUY(加码),71.4,2300,盈利+11%加仓第1次,0.5,,,,
2026-03-09,SELL,74.36,10700,多数表决看空(3/3票卖出),,,,110179.65734863281,0.16054949152170261
2026-03-19,BUY,79.94,7500,多数表决看多(2/3票买入),0.5,0.013700100443356776,up,,
2026-03-23,SELL,75.13,7500,多数表决看空(2/3票卖出),,,,-35538.46435546875,-0.05927523034854263
2026-04-15,BUY,80.89,4400,多数表决看多(2/3票买入),0.35,0.04912905658721811,mixed,,
2026-04-24,SELL,72.99,4400,多数表决看空(2/3票卖出),,,,-34449.35876464844,-0.09679069995349589
2026-05-11,BUY,78.47,7600,多数表决看多(2/3票买入),0.625,0.013802199567320036,up,,
2026-05-26,SELL,75.56,7600,多数表决看空(2/3票卖出),,,,-21516.122314453125,-0.036078357660073106
