date,action,symbol,name,price,shares,reason,strength,price_gain,trend
2025-05-16,BUY,300308.SZ,中际旭创,97.32,4900,多数表决看多(2/3票买入),0.47500000000000003,0.023003581785096507,mixed
2025-06-09,BUY(加码),300308.SZ,中际旭创,107.99,2400,盈利+7%加仓第1次,0.5,,
