date,nav,cash,position_value,drawdown,peak,dd,daily_ret,month
2025-04-21,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,,2025-04
2025-04-22,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-23,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-24,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-25,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-28,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-29,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-30,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-05-06,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-07,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-08,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-09,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-12,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-13,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-14,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-15,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-16,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-19,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-20,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-21,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-22,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-23,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-26,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-27,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-28,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-29,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-30,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-06-03,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-06
2025-06-04,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-06
2025-06-05,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-06
2025-06-06,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-06
2025-06-09,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-06
2025-06-10,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-06
2025-06-11,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-06
2025-06-12,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-06
2025-06-13,1999884.8512,1640044.8512,359840.0,5.757440000004135e-05,2000000.0,5.757440000004135e-05,-5.7574400000093284e-05,2025-06
2025-06-16,2022110.0888174926,1640044.8512,382065.2376174927,0.0,2022110.0888174926,0.0,0.01111325864794499,2025-06
2025-06-17,2021048.0761450683,1640044.8512,381003.22494506836,0.0005252002244078459,2022110.0888174926,0.0005252002244078459,-0.0005252002244078291,2025-06
2025-06-18,2036713.0022925292,1640044.8512,396668.1510925293,0.0,2036713.0022925292,0.0,0.007750892387151875,2025-06
2025-06-19,2041492.141811267,1640044.8512,401447.2906112671,0.0,2041492.141811267,0.0,0.002346496297396028,2025-06
2025-06-20,2019322.2601813232,1640044.8512,379277.40898132324,0.010859645832520389,2041492.141811267,0.010859645832520389,-0.010859645832520415,2025-06
2025-06-23,2001798.7706107055,1640044.8512,361753.91941070557,0.01944331324505834,2041492.141811267,0.01944331324505834,-0.008677906402638325,2025-06
2025-06-24,2008038.1981772338,1640044.8512,367993.3469772339,0.01638700583209297,2041492.141811267,0.01638700583209297,0.003116910479780577,2025-06
2025-06-25,2025959.9301260863,1640044.8512,385915.0789260864,0.0076082642529302445,2041492.141811267,0.0076082642529302445,0.008924995533013735,2025-06
2025-06-26,2023172.1344870483,1640044.8512,383127.28328704834,0.008973831909029414,2041492.141811267,0.008973831909029414,-0.00137603690852095,2025-06
2025-06-27,2229829.413307966,1443816.07808,786013.3352279663,0.0,2229829.413307966,0.0,0.10214517850371307,2025-06
2025-06-30,2230358.9342964306,1443816.07808,786542.8562164307,0.0,2230358.9342964306,0.0,0.00023747152374253844,2025-06
2025-07-01,2223740.349663557,1443816.07808,779924.2715835571,0.002967497531943833,2230358.9342964306,0.002967497531943833,-0.002967497531943808,2025-07
2025-07-02,2204679.173363508,1443816.07808,760863.0952835083,0.011513734645147183,2230358.9342964306,0.011513734645147183,-0.00857167353325794,2025-07
2025-07-03,2207326.5150917186,1443816.07808,763510.4370117188,0.010326776937353144,2230358.9342964306,0.010326776937353144,0.0012007832070057844,2025-07
2025-07-04,2222416.645897688,1443816.07808,778600.567817688,0.003560991137620672,2230358.9342964306,0.003560991137620672,0.006836383608313623,2025-07
2025-07-07,2211827.0815742626,1443816.07808,768011.0034942627,0.008308910479475747,2230358.9342964306,0.008308910479475747,-0.004764887062456258,2025-07
2025-07-08,2260803.989304365,1443816.07808,816987.9112243652,0.0,2260803.989304365,0.0,0.02214319018792521,2025-07
2025-07-09,2253656.0810936107,1443816.07808,809840.0030136108,0.003161666488811248,2260803.989304365,0.003161666488811248,-0.003161666488811221,2025-07
2025-07-10,2264245.645417036,1443816.07808,820429.5673370361,0.0,2264245.645417036,0.0,0.004698837773990272,2025-07
2025-07-11,2254715.0572670116,1443816.07808,810898.9791870117,0.004209167043918082,2264245.645417036,0.004209167043918082,-0.0042091670439180495,2025-07
2025-07-14,2286748.5436332836,1443816.07808,842932.4655532837,0.0,2286748.5436332836,0.0,0.014207332435656195,2025-07
2025-07-15,2340490.811241926,1443816.07808,896674.7331619263,0.0,2340490.811241926,0.0,0.023501607887002063,2025-07
2025-07-16,2310045.624626936,1443816.07808,866229.546546936,0.01300803509620925,2340490.811241926,0.01300803509620925,-0.013008035096209292,2025-07
2025-07-17,2321694.2967308178,1443816.07808,877878.2186508179,0.008031014016728599,2340490.811241926,0.008031014016728599,0.005042615600184597,2025-07
2025-07-18,2347903.5128486766,1443816.07808,904087.4347686768,0.0,2347903.5128486766,0.0,0.01128883167554151,2025-07
2025-07-21,2317193.664444746,1443816.07808,873377.5863647461,0.013079689278487794,2347903.5128486766,0.013079689278487794,-0.013079689278487794,2025-07
2025-07-22,2281453.728569807,1443816.07808,837637.6504898071,0.028301752569996834,2347903.5128486766,0.028301752569996834,-0.015423801826897843,2025-07
2025-07-23,2281189.0009773388,1443816.07808,837372.9228973389,0.028414503196681262,2347903.5128486766,0.028414503196681262,-0.00011603460949183297,2025-07
2025-07-24,2288337.040795149,1443816.07808,844520.9627151489,0.02537006811717604,2347903.5128486766,0.02537006811717604,0.003133471104212582,2025-07
2025-07-25,2281718.4561622753,1443816.07808,837902.3780822754,0.028189001943312406,2347903.5128486766,0.028189001943312406,-0.002892311978035189,2025-07
2025-07-28,2317193.664444746,1443816.07808,873377.5863647461,0.013079689278487794,2347903.5128486766,0.013079689278487794,0.015547583527083297,2025-07
2025-07-29,2323547.4556816234,1443816.07808,879731.3776016235,0.010373534105540129,2347903.5128486766,0.010373534105540129,0.0027420199417815816,2025-07
2025-07-30,2411441.096199812,1443816.07808,967625.018119812,0.0,2411441.096199812,0.0,0.037827348997442556,2025-07
2025-07-31,2508336.001290144,1443816.07808,1064519.923210144,0.0,2508336.001290144,0.0,0.0401813277724381,2025-07
2025-08-01,2530044.7167289867,1443816.07808,1086228.6386489868,0.0,2530044.7167289867,0.0,0.008654628178871304,2025-08
2025-08-04,2569226.3087165966,1443816.07808,1125410.2306365967,0.0,2569226.3087165966,0.0,0.01548652153400143,2025-08
2025-08-05,2529250.533951582,1443816.07808,1085434.455871582,0.015559460304991082,2569226.3087165966,0.015559460304991082,-0.015559460304991113,2025-08
2025-08-06,2584845.96051103,1443816.07808,1141029.8824310303,0.0,2584845.96051103,0.0,0.021980988365193133,2025-08
2025-08-07,2560225.044144453,1443816.07808,1116408.9660644531,0.00952510004182591,2584845.96051103,0.00952510004182591,-0.00952510004182594,2025-08
2025-08-08,2671945.4840553417,1443816.07808,1228129.4059753418,0.0,2671945.4840553417,0.0,0.04363696080795987,2025-08
2025-08-11,2768840.257538618,1443816.07808,1325024.1794586182,0.0,2768840.257538618,0.0,0.036263753905717566,2025-08
2025-08-12,2893268.148316206,1443816.07808,1449452.070236206,0.0,2893268.148316206,0.0,0.04493863105277107,2025-08
2025-08-13,2952834.6861732616,1443816.07808,1509018.6080932617,0.0,2952834.6861732616,0.0,0.020587976918669426,2025-08
2025-08-14,2985397.693527998,1443816.07808,1541581.615447998,0.0,2985397.693527998,0.0,0.011027710933908308,2025-08
2025-08-15,3133387.4586952343,1443816.07808,1689571.3806152344,0.0,3133387.4586952343,0.0,0.04957120637162049,2025-08
2025-08-18,3302291.559113325,1443816.07808,1858475.4810333252,0.0,3302291.559113325,0.0,0.05390463281180802,2025-08
2025-08-19,3229752.776993574,1443816.07808,1785936.6989135742,0.021966195540659,3302291.559113325,0.021966195540659,-0.02196619554065904,2025-08
2025-08-20,3278465.022934736,1443816.07808,1834648.9448547363,0.007215152191160965,3302291.559113325,0.007215152191160965,0.015082345090978055,2025-08
2025-08-21,3154037.1321571483,1443816.07808,1710221.0540771484,0.04489440871658937,3302291.559113325,0.04489440871658937,-0.037953093873853705,2025-08
2025-08-22,3182099.5730293407,1443816.07808,1738283.4949493408,0.03639653977623232,3302291.559113325,0.03639653977623232,0.008897308337330712,2025-08
2025-08-25,3246696.2641609325,1443816.07808,1802880.1860809326,0.016835368397126047,3302291.559113325,0.016835368397126047,0.020300021934918977,2025-08
2025-08-26,3245107.7669990673,1443816.07808,1801291.6889190674,0.017316397141387427,3302291.559113325,0.017316397141387427,-0.0004892657127800737,2025-08
2025-08-27,3345973.651779951,1443816.07808,1902157.5736999512,0.0,3345973.651779951,0.0,0.031082445337142106,2025-08
2025-08-28,3536321.805847944,1443816.07808,2092505.7277679443,0.0,3536321.805847944,0.0,0.05688871876403878,2025-08
2025-08-29,3561736.8391883983,1443816.07808,2117920.7611083984,0.0,3561736.8391883983,0.0,0.007186855364357925,2025-08
2025-09-01,3565972.743882002,1443816.07808,2122156.665802002,0.0,3565972.743882002,0.0,0.0011892806472948436,2025-09
