date,action,price,shares,reason,strength,price_gain,trend,pnl,pnl_pct
2025-06-19,BUY,52.15,6900,多数表决看多(2/3票买入),0.30875363877967393,0.0747296961058277,mixed,,
2025-06-27,BUY(加码),57.62,3400,盈利+7%加仓第1次,0.5,,,,
2025-08-12,BUY(加码),59.26,100,盈利+10%加仓第2次,0.5,,,,
2025-09-04,SELL,63.04,10400,多数表决看空(2/3票卖出),,,,93081.58687999996,0.1672639935620446
2025-09-24,BUY,80.27,7800,多数表决看多(3/3票买入),0.25770101574878873,0.32493522358471294,up,,
2025-10-23,SELL(止损),67.79,7800,"ATR止损: 亏损-15.47% >= -15.00% (ATR=6.33, 2.5×ATR=15.81)",,,,-98041.96583999996,-0.15547527096050817
2025-12-15,BUY,71.46,5000,多数表决看多(2/3票买入),0.2044293303419571,0.020444824723041398,mixed,,
2025-12-29,BUY(加码),77.8,2500,盈利+6%加仓第1次,0.5,,,,
2026-01-06,BUY(加码),80.39,100,盈利+9%加仓第2次,0.5,,,,
2026-01-13,SELL,74.3,7600,多数表决看空(2/3票卖出),,,,4095.622399999993,0.008647128906703406
2026-01-16,BUY,84.96,7000,多数表决看多(3/3票买入),0.4900801982204938,0.19539142691240724,up,,
2026-03-04,SELL,80.03,7000,多数表决看空(2/3票卖出),,,,-35249.477199999965,-0.05802730696798485
2026-04-20,BUY,85.09,4100,多数表决看多(2/3票买入),0.2103556193517206,0.023047971624210795,mixed,,
2026-05-06,BUY(加码),95.87,2000,盈利+8%加仓第1次,0.5,,,,
2026-06-08,SELL(止盈),107.71,6100,"移动止盈: 峰值142.00回吐64%盈利, 触发止盈(阈值60%, 盈利22%)",,,,115554.71907999995,0.2153534254886617
2026-06-18,BUY,153.05,4000,多数表决看多(2/3票买入),0.875,0.48881676810841146,up,,
