date,nav,cash,position_value,close,drawdown,peak,dd,daily_ret,month
2025-06-16,2000000.0,2000000.0,0.0,29.649999618530273,0.0,2000000.0,0.0,,2025-06
2025-06-17,2000000.0,2000000.0,0.0,29.549999237060547,0.0,2000000.0,0.0,0.0,2025-06
2025-06-18,2000000.0,2000000.0,0.0,29.920000076293945,0.0,2000000.0,0.0,0.0,2025-06
2025-06-19,2000000.0,2000000.0,0.0,29.579999923706055,0.0,2000000.0,0.0,0.0,2025-06
2025-06-20,2000000.0,2000000.0,0.0,29.610000610351562,0.0,2000000.0,0.0,0.0,2025-06
2025-06-23,2000000.0,2000000.0,0.0,29.799999237060547,0.0,2000000.0,0.0,0.0,2025-06
2025-06-24,2000000.0,2000000.0,0.0,30.260000228881836,0.0,2000000.0,0.0,0.0,2025-06
2025-06-25,2000000.0,2000000.0,0.0,30.579999923706055,0.0,2000000.0,0.0,0.0,2025-06
2025-06-26,2000000.0,2000000.0,0.0,30.010000228881836,0.0,2000000.0,0.0,0.0,2025-06
2025-06-27,2000000.0,2000000.0,0.0,30.579999923706055,0.0,2000000.0,0.0,0.0,2025-06
2025-06-30,2000000.0,2000000.0,0.0,30.65999984741211,0.0,2000000.0,0.0,0.0,2025-06
2025-07-01,2000000.0,2000000.0,0.0,30.610000610351562,0.0,2000000.0,0.0,0.0,2025-07
2025-07-02,2000000.0,2000000.0,0.0,29.920000076293945,0.0,2000000.0,0.0,0.0,2025-07
2025-07-03,2000000.0,2000000.0,0.0,30.700000762939453,0.0,2000000.0,0.0,0.0,2025-07
2025-07-04,2000000.0,2000000.0,0.0,31.15999984741211,0.0,2000000.0,0.0,0.0,2025-07
2025-07-07,2000000.0,2000000.0,0.0,31.889999389648438,0.0,2000000.0,0.0,0.0,2025-07
2025-07-08,2000000.0,2000000.0,0.0,31.899999618530273,0.0,2000000.0,0.0,0.0,2025-07
2025-07-09,2000000.0,2000000.0,0.0,31.56999969482422,0.0,2000000.0,0.0,0.0,2025-07
2025-07-10,2000000.0,2000000.0,0.0,31.59000015258789,0.0,2000000.0,0.0,0.0,2025-07
2025-07-11,1999885.55456,1642243.55456,357642.0,32.189998626708984,0.0,2000000.0,5.7222719999961556e-05,-5.722271999997197e-05,2025-07
2025-07-14,1995001.5621817652,1642243.55456,352758.00762176514,31.780000686645508,0.002499218909117393,2000000.0,0.002499218909117393,-0.0024421359347782667,2025-07
2025-07-15,2009098.5460913721,1642243.55456,366854.99153137207,33.04999923706055,0.0,2009098.5460913721,0.0,0.007066151815034338,2025-07
2025-07-16,2015203.5376227442,1642243.55456,372959.98306274414,33.599998474121094,0.0,2015203.5376227442,0.0,0.0030386720169843784,2025-07
2025-07-17,2024305.534235293,1642243.55456,382061.97967529297,34.41999816894531,0.0,2024305.534235293,0.0,0.004516663673231891,2025-07
2025-07-18,2024860.5681098048,1642243.55456,382617.0135498047,34.470001220703125,0.0,2024860.5681098048,0.0,0.00027418483283514483,2025-07
2025-07-21,2036785.98656,1446655.98656,590130.0,35.5099983215332,0.0,2036785.98656,0.0,0.005889501054054058,2025-07
2025-07-22,2035955.98656,1446655.98656,589300.0,35.5,0.00022026535548541894,2036785.98656,0.000407504767548905,-0.0004075047675489163,2025-07
2025-07-23,2035623.9789611232,1446655.98656,588967.992401123,35.47999954223633,0.0003833015268449025,2036785.98656,0.000570510405386041,-0.00016307209049148952,2025-07
2025-07-24,2040935.9738952052,1446655.98656,594279.9873352051,35.79999923706055,0.0,2040935.9738952052,0.0,0.0026095167815782805,2025-07
