date,action,price,shares,reason,strength,price_gain,trend,pnl,pnl_pct
2025-07-15,BUY,85.26,7000,多数表决看多(3/3票买入),0.47749177713458507,0.08396371565936367,up,,
2025-08-01,SELL,81.99,7000,多数表决看空(2/3票卖出),,,,-23647.58759999997,-0.038353272343420244
2025-08-06,BUY,90.9,6500,多数表决看多(3/3票买入),0.6631390164882295,0.11698279527611165,up,,
2025-11-12,SELL,124.56,6500,多数表决看空(2/3票卖出),,,,217721.27520000003,0.37029702970297024
2026-01-06,BUY,133.65,2900,多数表决看多(2/3票买入),0.8500000000000001,0.05114322467461509,mixed,,
2026-01-21,BUY(加码),160.18,1300,盈利+13%加仓第1次,0.5,,,,
2026-03-03,SELL(止盈),147.74,4200,"移动止盈: 峰值182.03回吐85%盈利, 触发止盈(阈值70%, 盈利4%)",,,,23869.929439999978,0.041437080724179634
2026-04-20,BUY,154.81,2500,多数表决看多(2/3票买入),0.23280326152483033,0.009143609737312897,mixed,,
2026-05-06,BUY(加码),199.18,1000,盈利+19%加仓第1次,0.5,,,,
