date,nav,cash,position_value,drawdown,peak,dd,daily_ret,month
2024-04-19,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,,2024-04
2024-04-22,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2024-04
2024-04-23,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2024-04
2024-04-24,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2024-04
2024-04-25,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2024-04
2024-04-26,1999898.13184,1681560.13184,318338.0,5.093408000003546e-05,2000000.0,5.093408000003546e-05,-5.0934080000009097e-05,2024-04
2024-04-29,1998569.8242228124,1681560.13184,317009.6923828125,0.0007150878885937855,2000000.0,0.0007150878885937855,-0.0006641876383800538,2024-04
2024-04-30,1998755.8593790624,1681560.13184,317195.7275390625,0.0006220703104687855,2000000.0,0.0006220703104687855,9.308414146724786e-05,2024-04
2024-05-06,2009025.1953165624,1681560.13184,327465.0634765625,0.0,2009025.1953165624,0.0,0.005137864081454335,2024-05
2024-05-07,2010848.3886759374,1681560.13184,329288.2568359375,0.0,2010848.3886759374,0.0,0.00090750149058616,2024-05
2024-05-08,2009726.586918125,1681560.13184,328166.455078125,0.0005578748572641825,2010848.3886759374,0.0005578748572641825,-0.0005578748572642178,2024-05
2024-05-09,2008243.8476603124,1681560.13184,326683.7158203125,0.0012952448480414702,2010848.3886759374,0.0012952448480414702,-0.0007377815805712507,2024-05
2024-05-10,2005077.465824375,1681560.13184,323517.333984375,0.0028698945599585557,2010848.3886759374,0.0028698945599585557,-0.0015766919139956759,2024-05
2024-05-13,1998941.918949375,1681560.13184,317381.787109375,0.005921117570878842,2010848.3886759374,0.005921117570878842,-0.0030600049023429277,2024-05
2024-05-14,1998194.0429728124,1681560.13184,316633.9111328125,0.006293038189446682,2010848.3886759374,0.006293038189446682,-0.0003741359213456086,2024-05
2024-05-15,1997825.6835978124,1681560.13184,316265.5517578125,0.0064762242402073514,2010848.3886759374,0.0064762242402073514,-0.0001843461481108033,2024-05
2024-05-16,1998662.866215,1681560.13184,317102.734375,0.00605989120291718,2010848.3886759374,0.00605989120291718,0.0004190468788447532,2024-05
2024-05-17,2000616.2597696874,1681560.13184,319056.1279296875,0.005088463637473656,2010848.3886759374,0.005088463637473656,0.0009773502013308288,2024-05
2024-05-20,1999500.0000040624,1681560.13184,317939.8681640625,0.005643582447977322,2010848.3886759374,0.005643582447977322,-0.0005579579592908113,2024-05
2024-05-21,1998755.8593790624,1681560.13184,317195.7275390625,0.006013645466746224,2010848.3886759374,0.006013645466746224,-0.00037216335333756234,2024-05
2024-05-22,1997399.6582071874,1681560.13184,315839.5263671875,0.0066880877466875795,2010848.3886759374,0.0066880877466875795,-0.0006785226747484385,2024-05
2024-05-23,1996339.2578165624,1681560.13184,314779.1259765625,0.007215427548433265,2010848.3886759374,0.007215427548433265,-0.0005308904436164275,2024-05
2024-05-24,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,-0.0017534879218831234,2024-05
2024-05-27,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-05
2024-05-28,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-05
2024-05-29,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-05
2024-05-30,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-05
2024-05-31,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-05
2024-06-03,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-06
2024-06-04,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-06
2024-06-05,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-06
2024-06-06,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-06
2024-06-07,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-06
2024-06-11,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-06
2024-06-12,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-06
2024-06-13,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-06
2024-06-14,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-06
2024-06-17,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-06
2024-06-18,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-06
2024-06-19,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-06
2024-06-20,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-06
2024-06-21,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-06
2024-06-24,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-06
2024-06-25,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-06
2024-06-26,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-06
2024-06-27,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-06
2024-06-28,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-06
2024-07-01,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-07
2024-07-02,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-07
2024-07-03,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-07
2024-07-04,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-07
2024-07-05,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-07
2024-07-08,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-07
2024-07-09,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-07
2024-07-10,1992838.70104,1992838.70104,0.0,0.008956263305258994,2010848.3886759374,0.008956263305258994,0.0,2024-07
