date,nav,cash,position_value,close,drawdown,daily_return,peak,dd,daily_ret,month
2025-04-21,2000000.0,2000000.0,0.0,34.576942443847656,0.0,0.0,2000000.0,0.0,,2025-04
2025-04-22,2000000.0,2000000.0,0.0,34.07217025756836,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-23,2000000.0,2000000.0,0.0,36.59603500366211,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-24,2000000.0,2000000.0,0.0,35.056480407714844,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-25,2000000.0,2000000.0,0.0,35.45524978637695,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-28,2000000.0,2000000.0,0.0,34.460845947265625,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-29,2000000.0,2000000.0,0.0,34.16303253173828,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-30,2000000.0,2000000.0,0.0,34.61227798461914,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-05-06,2000000.0,2000000.0,0.0,36.18716812133789,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-07,2000000.0,2000000.0,0.0,35.96002197265625,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-08,2000000.0,2000000.0,0.0,38.574745178222656,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-09,2000000.0,2000000.0,0.0,37.41376876831055,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-12,2000000.0,2000000.0,0.0,38.55455780029297,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-13,2000000.0,2000000.0,0.0,38.1961669921875,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-14,2000000.0,2000000.0,0.0,38.52931594848633,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-15,2000000.0,2000000.0,0.0,36.98471450805664,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-16,2000000.0,2000000.0,0.0,37.49958038330078,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-19,2000000.0,2000000.0,0.0,36.570796966552734,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-20,2000000.0,2000000.0,0.0,38.0093994140625,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-21,2000000.0,2000000.0,0.0,39.4631462097168,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-22,2000000.0,2000000.0,0.0,38.58988571166992,0.0,0.0,2000000.0,0.0,0.0,2025-05
