date,action,price,shares,reason,strength,price_gain,trend,pnl,pnl_pct
2025-07-11,BUY,32.22,11100,多数表决看多(2/3票买入),0.2533011981640553,0.029410153558420023,mixed,,
2025-07-21,BUY(加码),35.55,5500,盈利+7%加仓第1次,0.5,,,,
2026-03-03,SELL,121.88,16600,多数表决看空(3/3票卖出),,,,1467370.36544,2.6574994531488683
2026-03-10,BUY,151.95,6800,多数表决看多(3/3票买入),0.24329023718672707,0.19482089487122178,up,,
2026-03-17,SELL(止损),130.97,6800,"ATR止损: 亏损-13.72% >= -13.61% (ATR=8.27, 2.5×ATR=20.69)",,,,-143839.5867199999,-0.13807173412306675
2026-04-30,BUY,143.91,4100,多数表决看多(2/3票买入),0.7,0.1316952956242825,mixed,,
2026-05-11,BUY(加码),165.47,2000,盈利+10%加仓第1次,0.5,,,,
2026-05-13,BUY(加码),163.86,100,盈利+8%加仓第2次,0.5,,,,
2026-05-21,SELL,138.56,6200,多数表决看空(2/3票卖出),,,,-79418.97504000005,-0.083516739086602
2026-05-25,BUY,166.77,5800,多数表决看多(2/3票买入),0.4096300364516031,0.2524464247483848,up,,
2026-05-26,SELL(熔断),154.97,5800,最大回撤熔断: 20.42%,,,,-69626.45032000006,
