date,nav,cash,position_value,drawdown,peak,dd,daily_ret,month
2025-08-28,2016216.2477266407,1368696.27092,647519.9768066406,0.0069251886688944,2030276.2941133594,0.0069251886688944,0.0017369493022465488,2025-08
2025-08-29,2034456.2593233204,1368696.27092,665759.9884033203,0.0,2034456.2593233204,0.0,0.009046654403884524,2025-08
2025-09-01,2101032.275558672,1368696.27092,732336.0046386719,0.0,2101032.275558672,0.0,0.03272423082592857,2025-09
2025-09-02,2059156.2593233204,1368696.27092,690459.9884033203,0.019931162753897527,2101032.275558672,0.019931162753897527,-0.019931162753897502,2025-09
2025-09-03,2079296.27092,1368696.27092,710600.0,0.010345393020148724,2101032.275558672,0.010345393020148724,0.009780710669960557,2025-09
2025-09-04,2057560.2662813282,1368696.27092,688863.9953613281,0.02069078604029745,2101032.275558672,0.02069078604029745,-0.01045353898944601,2025-09
2025-09-05,2080512.2987520313,1368696.27092,711816.0278320312,0.009766616650943303,2101032.275558672,0.009766616650943303,0.01115497458170922,2025-09
2025-09-08,2077396.27092,1368696.27092,708700.0,0.011249710398850003,2101032.275558672,0.011249710398850003,-0.001497721418854514,2025-09
2025-09-09,2075420.2546846485,1368696.27092,706723.9837646484,0.012190208200020683,2101032.275558672,0.012190208200020683,-0.0009511985089278863,2025-09
2025-09-10,2070936.2825166797,1368696.27092,702240.0115966797,0.014324383966919098,2101032.275558672,0.014324383966919098,-0.002160512868585318,2025-09
2025-09-11,2075496.27092,1368696.27092,706800.0,0.01215402777755128,2101032.275558672,0.01215402777755128,0.0022018970075596833,2025-09
2025-09-12,2078840.2894746875,1368696.27092,710144.0185546875,0.010562420359812629,2101032.275558672,0.010562420359812629,0.001611189864101803,2025-09
2025-09-15,2077168.2801973438,1368696.27092,708472.0092773438,0.011358224068681954,2101032.275558672,0.011358224068681954,-0.0008042990535681582,2025-09
2025-09-16,2076560.2662813282,1368696.27092,707863.9953613281,0.011647612253284666,2101032.275558672,0.011647612253284666,-0.0002927128831169412,2025-09
2025-09-17,2108784.2500459766,1368696.27092,740087.9791259766,0.0,2108784.2500459766,0.0,0.015517962222379778,2025-09
2025-09-18,2099588.2570039844,1368696.27092,730891.9860839844,0.00436080316978453,2108784.2500459766,0.00436080316978453,-0.0043608031697844885,2025-09
2025-09-19,2125808.2917940235,1368696.27092,757112.0208740234,0.0,2125808.2917940235,0.0,0.012488179385921061,2025-09
2025-09-22,2127784.2500459766,1368696.27092,759087.9791259766,0.0,2127784.2500459766,0.0,0.0009295091469820882,2025-09
2025-09-23,2143896.27092,1368696.27092,775200.0,0.0,2143896.27092,0.0,0.007572206098280576,2025-09
2025-09-24,2152788.2570039844,1368696.27092,784091.9860839844,0.0,2152788.2570039844,0.0,0.0041475822336165535,2025-09
2025-09-25,2162820.2546846485,1368696.27092,794123.9837646484,0.0,2162820.2546846485,0.0,0.004660002045266509,2025-09
2025-09-26,2152256.2593233204,1368696.27092,783559.9884033203,0.004884361212378426,2162820.2546846485,0.004884361212378426,-0.004884361212378452,2025-09
2025-09-29,2156132.275558672,1368696.27092,787436.0046386719,0.0030922491647146647,2162820.2546846485,0.0030922491647146647,0.0018009083344796561,2025-09
2025-09-30,2197248.2454073047,1368696.27092,828551.9744873047,0.0,2197248.2454073047,0.0,0.019069316996323638,2025-09
2025-10-09,2220276.2941133594,1368696.27092,851580.0231933594,0.0,2220276.2941133594,0.0,0.010480403729614007,2025-10
2025-10-10,2209560.266281328,1368696.27092,840863.9953613281,0.0048264388808018,2220276.2941133594,0.0048264388808018,-0.004826438880801809,2025-10
2025-10-13,2196184.2500459766,1368696.27092,827487.9791259766,0.010850921631356552,2220276.2941133594,0.010850921631356552,-0.006053700566340914,2025-10
2025-10-14,2150204.2848360157,1368696.27092,781508.0139160156,0.031560040281079595,2220276.2941133594,0.031560040281079595,-0.020936296765172724,2025-10
2025-10-15,2186304.2848360157,1368696.27092,817608.0139160156,0.015300802592638617,2220276.2941133594,0.015300802592638617,0.016789102437656522,2025-10
2025-10-16,2218528.268600664,1368696.27092,849831.9976806641,0.0007873008946363432,2220276.2941133594,0.0007873008946363432,0.014739020541719938,2025-10
2025-10-17,2176576.2941133594,1368696.27092,807880.0231933594,0.019682235096533815,2220276.2941133594,0.019682235096533815,-0.018909821921613723,2025-10
2025-10-20,2238668.280197344,1368696.27092,869972.0092773438,0.0,2238668.280197344,0.0,0.028527364858247584,2025-10
2025-10-21,2302356.2593233204,1368696.27092,933659.9884033203,0.0,2302356.2593233204,0.0,0.028449047002337524,2025-10
2025-10-22,2271576.2941133594,1368696.27092,902880.0231933594,0.013368897660958603,2302356.2593233204,0.013368897660958603,-0.013368897660958612,2025-10
2025-10-23,2268460.266281328,1368696.27092,899763.9953613281,0.014722305857197996,2302356.2593233204,0.014722305857197996,-0.0013717469407064087,2025-10
2025-10-24,2299924.2616426563,1368696.27092,931227.9907226562,0.0010563081498859107,2302356.2593233204,0.0010563081498859107,0.013870199019578422,2025-10
2025-10-27,2304636.2825166797,1368696.27092,935940.0115966797,0.0,2304636.2825166797,0.0,0.0020487721933322156,2025-10
2025-10-28,2320216.2477266407,1368696.27092,951519.9768066406,0.0,2320216.2477266407,0.0,0.006760270732589335,2025-10
2025-10-29,2385272.229171953,1368696.27092,1016575.9582519531,0.0,2385272.229171953,0.0,0.02803875781365406,2025-10
2025-10-30,2352972.229171953,1368696.27092,984275.9582519531,0.013541431290303052,2385272.229171953,0.013541431290303052,-0.013541431290303052,2025-10
2025-10-31,2366956.317306719,1368696.27092,998260.0463867188,0.007678751146820982,2385272.229171953,0.007678751146820982,0.005943159023039879,2025-10
2025-11-03,2402296.27092,1368696.27092,1033600.0,0.0,2402296.27092,0.0,0.014930547452389531,2025-11
2025-11-04,2454660.266281328,1368696.27092,1085963.9953613281,0.0,2454660.266281328,0.0,0.021797476021254703,2025-11
2025-11-05,2432772.229171953,1368696.27092,1064075.9582519531,0.008916931361150902,2454660.266281328,0.008916931361150902,-0.008916931361150904,2025-11
2025-11-06,2491216.2477266407,1368696.27092,1122519.9768066406,0.0,2491216.2477266407,0.0,0.024023629443756134,2025-11
2025-11-07,2480044.238449297,1368696.27092,1111347.9675292969,0.004484560217339128,2491216.2477266407,0.004484560217339128,-0.0044845602173391175,2025-11
2025-11-10,2485896.27092,1368696.27092,1117200.0,0.002135493782001209,2491216.2477266407,0.002135493782001209,0.002359648420772631,2025-11
2025-11-11,2439536.2245332813,1368696.27092,1070839.9536132812,0.020744896490025696,2491216.2477266407,0.020744896490025696,-0.01864922801849711,2025-11
2025-11-12,2462412.2987520313,1368696.27092,1093716.0278320312,0.011562203402010732,2491216.2477266407,0.011562203402010732,0.009377222600220447,2025-11
2025-11-13,2528076.2941133594,1368696.27092,1159380.0231933594,0.0,2528076.2941133594,0.0,0.026666531593676268,2025-11
2025-11-14,2502008.233810625,1368696.27092,1133311.962890625,0.010311421519767425,2528076.2941133594,0.010311421519767425,-0.010311421519767383,2025-11
2025-11-17,2469784.308029375,1368696.27092,1101088.037109375,0.023057842921796943,2528076.2941133594,0.023057842921796943,-0.012879224514849907,2025-11
2025-11-18,2454280.243087969,1368696.27092,1085583.9721679688,0.02919059491884211,2528076.2941133594,0.02919059491884211,-0.006277497549483146,2025-11
2025-11-19,2446984.308029375,1368696.27092,1078288.037109375,0.03207655808205138,2528076.2941133594,0.03207655808205138,-0.002972739188664919,2025-11
2025-11-20,2444096.27092,1368696.27092,1075400.0,0.033218943347915315,2528076.2941133594,0.033218943347915315,-0.001180243412227222,2025-11
2025-11-21,2400624.2616426563,1368696.27092,1031927.9907226562,0.05041463058985836,2528076.2941133594,0.05041463058985836,-0.01778653721401091,2025-11
2025-11-24,2406096.27092,1368696.27092,1037400.0,0.0482501352816727,2528076.2941133594,0.0482501352816727,0.0022794109702113374,2025-11
2025-11-25,2460816.2477266407,1368696.27092,1092119.9768066406,0.026605228071373544,2528076.2941133594,0.026605228071373544,0.022742222523672195,2025-11
2025-11-26,2440296.27092,1368696.27092,1071600.0,0.03472206254129105,2528076.2941133594,0.03472206254129105,-0.008338687143177537,2025-11
2025-11-27,2435204.2848360157,1368696.27092,1066508.0139160156,0.03673623675582765,2528076.2941133594,0.03673623675582765,-0.002086626179232165,2025-11
2025-11-28,2459296.27092,1368696.27092,1090600.0,0.027206466574412357,2528076.2941133594,0.027206466574412357,0.009893209466657504,2025-11
2025-12-01,2473508.233810625,1368696.27092,1104811.962890625,0.021584815470085467,2528076.2941133594,0.021584815470085467,0.005778873842356758,2025-12
2025-12-02,2470848.303390703,1368696.27092,1102152.0324707031,0.022636971382514033,2528076.2941133594,0.022636971382514033,-0.001075367521952475,2025-12
2025-12-03,2490836.2245332813,1368696.27092,1122139.9536132812,0.01473059561801669,2528076.2941133594,0.01473059561801669,0.008089497487623554,2025-12
2025-12-04,2508696.27092,1368696.27092,1140000.0,0.007665917060527752,2528076.2941133594,0.007665917060527752,0.007170301367391385,2025-12
2025-12-05,2576412.2987520313,1368696.27092,1207716.0278320312,0.0,2576412.2987520313,0.0,0.026992517435041385,2025-12
2025-12-08,2546924.2616426563,1368696.27092,1178227.9907226562,0.011445387496270875,2576412.2987520313,0.011445387496270875,-0.011445387496270887,2025-12
