date,action,price,shares,reason,strength,price_gain,trend
2025-05-12,BUY,57.29,8300,多数表决看多(2/3票买入),0.47500000000000003,0.17385559064607728,mixed
2025-05-29,BUY(加码),62.21,4100,盈利+6%加仓第1次,0.5,,
2025-06-04,BUY(加码),66.05,200,盈利+12%加仓第2次,0.5,,
