date,action,price,shares,reason,strength,price_gain,trend,pnl,pnl_pct
2024-05-06,BUY,82.96,7200,多数表决看多(2/3票买入),0.45,0.13011914970325056,up,,
2024-06-27,SELL,82.35,7200,多数表决看空(3/3票卖出),,,,-3822.97412109375,-0.006400296865111877
2024-07-29,BUY,96.84,3700,多数表决看多(3/3票买入),0.85,0.1391100219922508,mixed,,
2024-08-05,SELL(止损),79.08,3700,"ATR止损: 亏损-18.26% >= -13.18% (ATR=5.11, 2×ATR=10.21)",,,,-65409.15509033203,-0.18255008286259877
2024-09-25,BUY,94.88,3700,多数表决看多(2/3票买入),0.75,0.14814317846599184,mixed,,
2024-10-08,BUY(加码),139.92,500,盈利+34%加仓第1次,0.5,,,,
2024-12-18,SELL,167.65,4700,多数表决看空(2/3票卖出),,,,297786.5686645507,0.6065196031263254
2024-12-26,BUY,202.17,1700,多数表决看多(2/3票买入),0.35,0.07052666396774052,mixed,,
2025-01-06,SELL(止损),159.81,1700,"ATR止损: 亏损-20.87% >= -15.00% (ATR=18.46, 2×ATR=36.92)",,,,-71734.6802368164,-0.20871974441083768
2025-02-20,BUY,198.16,1800,多数表决看多(2/3票买入),0.35,0.061758010403992675,mixed,,
2025-03-03,SELL,170.79,1800,多数表决看空(3/3票卖出),,,,-48957.68078613281,-0.1372563158450321
2025-03-17,BUY,199.96,3000,多数表决看多(2/3票买入),0.825,0.06791411848040532,up,,
2025-03-19,SELL,184.86,3000,多数表决看空(2/3票卖出),,,,-44733.240966796875,-0.07457031567446305
2025-07-11,BUY,151.29,2300,多数表决看多(2/3票买入),0.4,0.08527900198886648,mixed,,
2025-07-17,BUY(加码),166.14,1100,盈利+5%加仓第1次,0.5,,,,
2025-10-14,SELL,220.46,4500,多数表决看空(3/3票卖出),,,,279584.9670410156,0.39186371917868956
2025-12-24,BUY,239.95,1500,多数表决看多(2/3票买入),0.4,0.08354770396148868,mixed,,
2026-01-05,BUY(加码),262.42,700,盈利+5%加仓第1次,0.5,,,,
