date,open,close,high,low,volume
2024-01-02,59.87,59.65,60.84,58.58,1501000.0
2024-01-03,59.23,59.86,60.7,58.87,1180100.0
2024-01-04,59.89,60.18,60.45,59.01,1009900.0
2024-01-05,59.87,60.5,61.12,59.71,1076600.0
2024-01-08,60.08,59.03,60.38,58.16,1356800.0
2024-01-09,58.89,58.18,59.28,57.07,1736000.0
2024-01-10,57.94,57.07,58.53,56.99,1021900.0
2024-01-11,57.07,58.37,58.83,56.88,872000.0
2024-01-12,58.25,58.91,59.23,57.61,806700.0
2024-01-15,58.27,58.74,60.36,57.93,1062400.0
2024-01-16,58.58,60.26,61.16,58.29,1343500.0
2024-01-17,59.87,58.26,60.0,58.26,577800.0
2024-01-18,57.33,58.94,59.23,55.81,1233200.0
2024-01-19,58.5,57.99,59.39,57.79,914100.0
2024-01-22,56.62,53.75,56.62,53.43,1920000.0
2024-01-23,53.43,53.43,55.19,52.81,1132700.0
2024-01-24,54.17,53.04,54.6,51.91,941400.0
2024-01-25,53.04,55.03,55.2,52.49,1084100.0
2024-01-26,54.69,52.78,54.71,52.7,827300.0
2024-01-29,52.98,50.79,54.05,50.79,920300.0
2024-01-30,50.52,47.32,50.52,47.14,1523600.0
2024-01-31,46.84,47.04,48.15,46.08,1355600.0
2024-02-01,46.82,49.08,50.73,46.34,1874200.0
2024-02-02,49.33,49.12,51.06,47.67,1630200.0
2024-02-05,49.05,50.78,51.49,46.54,1897000.0
2024-02-06,52.33,55.36,55.93,49.27,2111000.0
2024-02-07,55.48,59.1,59.51,54.44,2517600.0
2024-02-08,59.15,59.03,63.39,58.69,2108900.0
2024-02-19,60.36,59.88,60.36,57.35,1946200.0
2024-02-20,58.91,58.04,58.97,57.15,1537300.0
2024-02-21,56.65,58.81,60.39,56.65,1188600.0
2024-02-22,58.74,58.29,59.04,57.84,1014600.0
2024-02-23,58.31,57.73,58.74,56.81,1325000.0
2024-02-26,57.63,58.1,58.94,57.34,1048900.0
2024-02-27,57.65,60.52,60.8,57.46,1579000.0
2024-02-28,60.52,58.23,61.36,58.06,1430200.0
2024-02-29,58.26,64.38,64.38,58.26,2492700.0
2024-03-01,64.45,64.38,65.99,62.78,1530600.0
2024-03-04,64.22,64.28,65.93,64.2,1486100.0
2024-03-05,64.37,63.45,64.56,62.61,1257600.0
2024-03-06,63.45,62.8,64.87,62.26,1258300.0
2024-03-07,63.7,62.15,64.44,62.15,1117200.0
2024-03-08,62.0,63.0,63.78,62.0,1213000.0
2024-03-11,62.77,63.46,63.58,61.48,895000.0
2024-03-12,63.49,63.75,65.56,63.12,1166000.0
2024-03-13,64.0,63.11,64.38,63.11,720000.0
2024-03-14,62.77,61.48,63.28,61.0,959100.0
2024-03-15,61.79,61.05,62.03,60.64,804200.0
2024-03-18,61.16,61.77,62.35,60.04,1484000.0
2024-03-19,61.16,61.02,63.03,60.97,1209600.0
2024-03-20,60.84,60.53,61.47,59.56,1166200.0
2024-03-21,60.84,61.33,62.13,59.92,1270000.0
2024-03-22,61.29,60.68,63.05,60.62,1400400.0
2024-03-25,60.13,60.45,62.06,59.0,1591800.0
2024-03-26,60.29,59.23,61.19,58.74,840800.0
2024-03-27,59.0,56.97,59.13,56.97,889500.0
2024-03-28,57.07,56.01,57.78,55.41,1398700.0
2024-03-29,56.0,55.36,56.64,54.2,1676700.0
2024-04-01,55.84,55.29,56.26,54.89,1336600.0
2024-04-02,55.39,54.67,55.62,54.28,894400.0
2024-04-03,54.55,54.53,55.19,53.62,1084200.0
2024-04-08,54.18,54.21,55.7,54.18,925500.0
2024-04-09,54.26,54.72,54.88,53.49,674100.0
2024-04-10,54.2,52.73,54.62,52.62,863100.0
2024-04-11,52.23,51.64,52.95,50.95,1444000.0
2024-04-12,51.49,50.65,51.97,50.65,1110600.0
2024-04-15,50.89,51.49,53.91,50.89,2359600.0
2024-04-16,51.01,49.35,52.02,48.73,1951600.0
2024-04-17,49.98,50.33,50.78,48.76,1957600.0
2024-04-18,49.84,50.94,52.1,48.92,1688100.0
2024-04-19,50.52,49.25,50.52,49.2,1147800.0
2024-04-22,48.95,49.54,50.04,48.16,948600.0
2024-04-23,49.99,50.78,51.09,49.28,1133800.0
