date,open,close,high,low,volume
2024-01-02,78.86,77.25,80.25,77.2,14791100.0
2024-01-03,76.18,73.22,76.81,73.14,22108700.0
2024-01-04,73.01,72.51,73.71,71.33,16650700.0
2024-01-05,72.23,69.65,72.86,69.06,17552100.0
2024-01-08,69.49,68.77,70.43,68.07,13263000.0
2024-01-09,70.91,70.58,72.17,69.99,20001100.0
2024-01-10,70.59,69.63,71.58,68.41,13860200.0
2024-01-11,69.63,72.07,72.85,69.57,19289700.0
2024-01-12,71.52,70.03,71.77,69.32,13842000.0
2024-01-15,69.17,70.98,72.22,69.17,12647600.0
2024-01-16,70.27,69.84,70.54,68.48,16902600.0
2024-01-17,70.11,68.93,71.67,68.93,19193200.0
2024-01-18,67.5,76.69,76.78,67.35,37099800.0
2024-01-19,78.47,77.53,79.39,77.1,31897300.0
2024-01-22,81.13,77.97,81.49,77.53,32715000.0
2024-01-23,78.25,79.69,82.03,77.42,29757000.0
2024-01-24,79.44,79.47,79.82,76.08,26955200.0
2024-01-25,78.6,82.82,83.43,77.84,29701000.0
2024-01-26,82.56,81.1,82.56,79.55,23215000.0
2024-01-29,79.44,72.38,79.44,67.26,42655900.0
2024-01-30,71.79,70.49,73.8,70.16,21396800.0
2024-01-31,69.65,71.64,75.3,68.73,28299500.0
2024-02-01,72.35,77.57,81.13,70.75,35111600.0
2024-02-02,78.17,76.71,79.6,75.16,27957800.0
2024-02-05,75.38,78.25,82.15,75.29,36554700.0
2024-02-06,77.29,87.51,87.51,76.67,35496900.0
2024-02-07,86.23,87.31,88.3,85.14,27058000.0
2024-02-08,89.39,89.03,96.22,87.45,35591800.0
2024-02-19,96.93,107.28,107.28,93.96,41589100.0
2024-02-20,107.71,112.38,114.89,106.27,44837200.0
2024-02-21,106.99,105.53,108.45,103.62,45141600.0
2024-02-22,111.34,108.8,112.48,105.17,41951500.0
2024-02-23,112.74,103.92,113.46,103.44,49034100.0
2024-02-26,99.83,104.86,106.57,99.83,33292700.0
2024-02-27,103.73,114.13,116.12,102.7,45132300.0
2024-02-28,113.46,105.42,114.82,105.42,40110600.0
2024-02-29,107.71,109.26,111.88,106.27,36809400.0
2024-03-01,109.89,113.53,115.27,109.89,37820700.0
2024-03-04,117.13,116.81,120.4,112.82,40503500.0
2024-03-05,115.11,119.32,127.04,114.62,46923400.0
2024-03-06,117.77,117.97,120.07,114.78,30408000.0
2024-03-07,119.93,115.71,123.35,115.61,30368900.0
2024-03-08,119.11,123.51,124.9,116.08,36453800.0
2024-03-11,117.79,120.36,120.62,115.82,34161700.0
2024-03-12,119.78,116.23,121.07,112.58,36190500.0
2024-03-13,120.94,116.33,121.28,116.25,31768400.0
2024-03-14,114.18,119.59,121.36,114.18,31101700.0
2024-03-15,117.77,125.21,127.4,116.76,38974200.0
2024-03-18,126.21,127.1,131.48,125.38,32993600.0
2024-03-19,122.3,122.66,124.7,120.97,33277200.0
2024-03-20,121.36,119.18,123.99,117.05,32158000.0
2024-03-21,119.38,118.26,121.84,117.29,25327300.0
2024-03-22,118.49,118.26,120.3,117.31,22615300.0
2024-03-25,118.46,117.42,121.28,115.61,22335700.0
2024-03-26,116.7,111.66,121.92,105.56,46524600.0
2024-03-27,113.3,108.57,114.16,107.54,29085600.0
2024-03-28,109.16,108.93,112.65,106.37,26330900.0
2024-03-29,107.78,110.27,110.58,106.88,16722000.0
2024-04-01,111.15,114.9,115.53,109.7,21793100.0
2024-04-02,114.18,114.57,117.05,112.76,19455600.0
2024-04-03,112.02,109.94,113.14,109.6,16630400.0
2024-04-08,109.58,116.02,119.42,109.58,25924300.0
2024-04-09,115.61,116.26,117.04,112.91,17038300.0
2024-04-10,114.37,112.38,116.25,110.58,16849100.0
2024-04-11,113.46,112.85,116.03,112.59,14886300.0
2024-04-12,115.61,119.44,123.01,115.26,30735100.0
2024-04-15,118.34,119.57,121.75,117.45,17939600.0
2024-04-16,117.99,117.31,121.72,114.93,18793500.0
2024-04-17,118.73,123.24,124.27,117.05,21453600.0
2024-04-18,120.4,122.35,124.45,118.63,16413500.0
2024-04-19,121.47,120.43,123.69,115.54,21452800.0
2024-04-22,109.15,111.56,112.73,106.19,34918300.0
2024-04-23,112.0,110.95,114.08,108.77,24066700.0
2024-04-24,112.58,118.68,119.21,111.2,27610700.0
2024-04-25,116.26,115.72,118.37,115.1,16671800.0
2024-04-26,120.64,130.6,132.84,120.36,40657800.0
2024-04-29,132.83,132.64,134.29,131.08,24976000.0
2024-04-30,132.5,131.64,136.36,131.49,16590100.0
2024-05-06,135.01,129.42,136.17,129.16,19870200.0
2024-05-07,132.7,124.8,133.38,121.43,30864400.0
2024-05-08,123.88,123.37,125.62,122.44,16068800.0
2024-05-09,122.73,122.21,123.23,118.65,18208000.0
2024-05-10,120.5,120.79,121.85,117.54,15323900.0
2024-05-13,121.72,121.04,124.24,120.26,16664000.0
2024-05-14,121.26,116.64,122.08,116.11,21466100.0
2024-05-15,116.34,117.6,120.79,115.97,15412100.0
2024-05-16,121.35,120.28,123.22,119.93,23207500.0
2024-05-17,118.34,120.34,122.3,115.78,19908100.0
2024-05-20,119.21,124.85,126.28,117.41,24224900.0
2024-05-21,124.71,125.26,127.33,124.06,13305200.0
2024-05-22,124.24,122.2,124.87,121.88,13940000.0
2024-05-23,125.67,122.65,126.87,119.12,22164500.0
2024-05-24,121.36,116.61,126.92,116.32,27366600.0
2024-05-27,117.13,118.77,120.56,116.33,16695100.0
2024-05-28,117.77,113.47,118.05,112.81,24734600.0
2024-05-29,116.33,113.46,117.05,113.08,15789800.0
2024-05-30,113.53,112.72,114.82,111.78,10958500.0
2024-05-31,110.58,110.78,114.67,108.82,14953600.0
2024-06-03,113.46,118.74,121.15,112.26,28507600.0
2024-06-04,119.93,122.08,123.51,119.49,20440200.0
2024-06-05,121.43,117.74,122.44,117.74,14107200.0
2024-06-06,121.4,123.52,128.02,121.4,40541000.0
2024-06-07,122.2,117.61,124.04,117.09,31591700.0
2024-06-11,117.09,117.11,119.76,115.49,19973500.0
2024-06-12,117.1,117.31,119.43,115.12,16625000.0
2024-06-13,118.97,121.8,124.53,117.78,30630900.0
2024-06-14,123.11,136.4,138.58,122.18,58687400.0
2024-06-17,139.1,140.61,143.04,138.6,37826600.0
2024-06-18,140.68,145.01,149.59,140.68,34457800.0
2024-06-19,147.85,144.1,148.34,142.3,24641300.0
2024-06-20,144.1,142.8,147.06,142.76,20839800.0
2024-06-21,138.6,141.1,143.9,138.11,23695800.0
