date,open,close,high,low,volume
2024-01-02,91.31,88.89,91.31,88.76,8930600.0
2024-01-03,88.71,84.97,88.81,83.77,16606400.0
2024-01-04,84.63,80.21,84.77,78.91,21178700.0
2024-01-05,79.56,78.61,81.16,77.3,17185500.0
2024-01-08,77.91,76.52,78.79,75.6,17052800.0
2024-01-09,76.91,76.61,77.7,75.27,12295600.0
2024-01-10,76.04,75.49,76.79,74.76,9530800.0
2024-01-11,75.07,76.77,77.07,75.04,10206700.0
2024-01-12,76.28,75.51,76.58,75.24,7963500.0
2024-01-15,75.06,75.46,77.21,74.41,9691800.0
2024-01-16,75.31,75.39,75.83,73.67,11077800.0
2024-01-17,74.91,73.24,75.69,73.23,8126400.0
2024-01-18,72.78,74.84,75.09,71.72,13784600.0
2024-01-19,74.46,74.19,75.4,73.91,8170000.0
2024-01-22,74.01,71.2,74.41,70.21,12616400.0
2024-01-23,71.21,72.14,72.91,70.91,9923700.0
2024-01-24,72.71,71.01,72.85,68.81,13124900.0
2024-01-25,70.78,73.07,73.21,70.27,11939200.0
2024-01-26,70.91,67.64,70.91,66.91,29918700.0
2024-01-29,66.81,65.59,68.21,64.62,19437400.0
2024-01-30,65.43,64.26,66.2,63.96,9885300.0
2024-01-31,63.91,61.41,64.72,61.32,14230700.0
2024-02-01,61.33,62.22,64.6,60.82,15342500.0
2024-02-02,62.61,59.09,62.98,56.91,18212000.0
2024-02-05,58.9,56.83,58.91,54.11,18284000.0
2024-02-06,56.54,60.87,60.91,55.91,17349000.0
2024-02-07,61.06,61.21,62.48,60.29,17746500.0
2024-02-08,61.69,67.44,67.44,61.66,21011000.0
2024-02-19,67.46,65.86,67.9,63.68,26161100.0
2024-02-20,65.1,69.06,70.93,63.34,30158200.0
2024-02-21,66.41,68.18,70.51,66.26,34144700.0
2024-02-22,66.91,71.45,71.95,66.71,30134300.0
2024-02-23,71.46,70.89,72.22,69.9,26247600.0
2024-02-26,70.91,70.27,71.73,69.71,18635300.0
2024-02-27,69.83,73.1,73.54,69.17,23433500.0
2024-02-28,73.21,68.81,74.51,68.72,24215000.0
2024-02-29,68.21,72.18,72.21,68.02,22964000.0
2024-03-01,72.28,74.67,75.57,72.07,24492800.0
2024-03-04,75.09,73.84,75.57,73.06,19293800.0
2024-03-05,73.01,73.17,74.6,72.7,16705700.0
2024-03-06,72.91,71.74,73.16,70.99,14820000.0
2024-03-07,71.88,69.43,73.11,69.41,15181500.0
2024-03-08,69.94,70.51,71.39,69.38,12336300.0
2024-03-11,69.63,73.54,73.71,68.96,19419300.0
2024-03-12,73.88,77.91,81.0,73.4,44915100.0
2024-03-13,78.91,77.26,79.31,76.21,29531000.0
2024-03-14,76.46,76.09,77.53,75.27,17770700.0
2024-03-15,75.91,76.33,76.67,74.29,18226800.0
2024-03-18,76.56,76.8,77.41,75.57,21306500.0
2024-03-19,76.81,76.12,78.86,75.81,22380500.0
2024-03-20,75.68,76.01,76.76,74.68,15425800.0
2024-03-21,78.25,79.06,81.23,77.21,37843900.0
2024-03-22,79.91,77.29,81.34,77.2,31645200.0
2024-03-25,75.93,72.44,76.33,72.25,26722400.0
2024-03-26,73.56,75.38,78.57,73.31,30206900.0
2024-03-27,74.87,69.66,75.14,69.43,24253900.0
2024-03-28,69.66,71.66,72.37,68.59,17020000.0
2024-03-29,71.65,70.78,71.65,69.36,14497300.0
2024-04-01,70.86,71.35,71.58,69.91,17933000.0
2024-04-02,72.8,70.81,72.92,70.36,16482700.0
2024-04-03,70.27,70.52,72.78,68.29,23837800.0
2024-04-08,70.31,68.65,70.91,68.65,15821800.0
2024-04-09,68.71,68.76,69.8,67.91,11952300.0
2024-04-10,68.91,65.33,69.17,65.12,17433100.0
