date,open,close,high,low,volume
2024-01-02,103.42,100.52,103.42,100.42,1024900.0
2024-01-03,100.37,100.06,101.62,98.62,1073500.0
2024-01-04,99.89,98.93,100.52,98.33,608400.0
2024-01-05,99.7,97.52,99.92,97.22,612300.0
2024-01-08,96.72,94.59,98.62,94.45,938100.0
2024-01-09,94.78,92.72,95.92,92.13,964400.0
2024-01-10,94.71,94.12,98.26,94.12,1588100.0
2024-01-11,94.11,94.99,95.87,93.3,1062700.0
2024-01-12,95.13,94.72,96.59,94.67,779000.0
2024-01-15,93.8,95.2,96.7,93.16,747100.0
2024-01-16,95.0,95.59,97.6,93.72,974600.0
2024-01-17,95.08,90.82,95.71,90.82,1335500.0
2024-01-18,90.5,91.35,91.7,88.38,1240100.0
2024-01-19,91.44,91.02,93.27,90.91,1033200.0
2024-01-22,90.82,86.02,91.34,85.87,1279400.0
2024-01-23,86.09,90.17,91.17,86.02,1597600.0
2024-01-24,90.89,89.02,91.21,87.13,1153600.0
2024-01-25,89.02,92.02,92.33,87.92,1273700.0
2024-01-26,86.92,81.12,86.92,80.45,3723500.0
2024-01-29,81.11,79.53,84.7,79.32,2240800.0
2024-01-30,79.14,76.74,80.02,76.72,1356100.0
2024-01-31,75.58,76.24,78.41,75.49,1598500.0
2024-02-01,75.94,76.52,78.57,73.73,1626300.0
2024-02-02,77.22,72.76,77.22,70.49,1872500.0
2024-02-05,72.72,71.72,73.46,67.52,2078700.0
2024-02-06,72.72,78.69,78.69,70.07,2452600.0
2024-02-07,78.12,84.75,85.4,78.05,3297000.0
2024-02-08,84.22,85.94,92.36,84.19,2451500.0
2024-02-19,88.87,85.44,89.21,83.72,2228100.0
2024-02-20,84.81,84.52,85.32,83.22,1336300.0
2024-02-21,84.19,85.02,86.97,83.43,1708200.0
2024-02-22,85.4,84.32,85.62,83.42,1803300.0
2024-02-23,85.52,85.08,85.52,82.81,1768500.0
2024-02-26,85.27,85.61,86.48,84.39,1995400.0
2024-02-27,84.79,90.67,90.84,84.62,2781200.0
2024-02-28,90.5,85.77,91.05,85.66,2590600.0
2024-02-29,89.22,96.95,96.95,88.92,4652400.0
2024-03-01,95.72,94.97,97.26,92.9,3569100.0
2024-03-04,94.73,95.33,96.6,93.22,2385700.0
2024-03-05,95.24,92.87,95.31,92.33,2106900.0
2024-03-06,92.85,92.96,94.6,90.81,1770900.0
2024-03-07,93.72,91.85,96.94,91.8,2015700.0
2024-03-08,91.99,91.4,94.32,91.32,2758800.0
2024-03-11,90.72,93.7,93.93,89.94,2065300.0
2024-03-12,93.72,94.0,95.82,93.39,1460200.0
2024-03-13,94.94,93.04,95.6,92.78,1334200.0
2024-03-14,92.12,91.85,93.26,90.49,1211200.0
2024-03-15,92.11,91.58,92.12,89.93,1417200.0
2024-03-18,91.52,91.66,91.92,88.82,2428900.0
2024-03-19,91.66,89.13,91.84,89.12,1835200.0
2024-03-20,88.83,89.12,90.14,88.61,1139400.0
2024-03-21,90.73,91.75,94.02,89.3,3836900.0
2024-03-22,91.72,92.94,96.43,91.72,4286400.0
2024-03-25,92.92,86.72,92.92,85.73,4083100.0
2024-03-26,86.87,85.12,88.38,84.53,2316400.0
2024-03-27,85.07,82.5,85.67,82.39,1733400.0
2024-03-28,82.73,83.33,85.2,82.73,1765200.0
2024-03-29,82.82,85.52,86.7,82.6,1689900.0
2024-04-01,86.48,85.98,87.09,85.52,1218900.0
2024-04-02,85.38,84.42,85.9,83.35,1341700.0
2024-04-03,84.03,83.37,85.56,83.17,1385000.0
2024-04-08,83.35,81.52,85.1,81.27,1317600.0
2024-04-09,80.76,81.72,82.02,80.34,1293000.0
2024-04-10,81.72,79.51,82.41,79.27,1063200.0
2024-04-11,79.22,78.54,80.26,78.11,1075300.0
2024-04-12,78.72,77.74,79.5,77.63,878100.0
2024-04-15,78.71,80.63,82.01,78.23,1898600.0
2024-04-16,80.76,78.64,81.58,78.37,1684600.0
2024-04-17,79.66,81.59,81.59,77.92,1773200.0
2024-04-18,80.92,80.72,82.23,80.38,1395000.0
2024-04-19,79.81,76.5,80.46,76.5,1700700.0
2024-04-22,76.02,79.63,80.22,75.74,1734600.0
2024-04-23,79.85,80.09,81.2,78.92,1206000.0
2024-04-24,80.15,80.39,81.47,79.75,1401700.0
2024-04-25,80.62,80.16,81.5,79.39,1063000.0
2024-04-26,80.2,83.12,83.19,79.72,1887200.0
2024-04-29,79.72,82.61,83.52,79.05,3110600.0
2024-04-30,82.25,80.73,83.11,80.56,1808100.0
2024-05-06,82.15,81.43,82.61,80.57,1600400.0
2024-05-07,81.07,78.27,81.51,77.72,2308800.0
2024-05-08,77.72,77.01,78.97,76.8,1524600.0
2024-05-09,77.0,79.22,80.19,77.0,1973300.0
2024-05-10,79.27,76.57,79.62,76.32,2119800.0
2024-05-13,76.12,75.61,77.28,75.18,1213000.0
2024-05-14,76.76,76.34,77.49,75.6,1166500.0
2024-05-15,76.22,74.78,76.71,74.33,1094600.0
2024-05-16,75.7,76.54,76.54,74.47,1233200.0
2024-05-17,75.77,77.75,77.9,75.37,1166000.0
2024-05-20,77.62,77.17,79.25,76.81,1421200.0
2024-05-21,76.8,76.76,77.5,76.38,887000.0
2024-05-22,77.28,77.21,77.54,76.02,947600.0
2024-05-23,77.2,76.22,77.86,76.22,1046700.0
2024-05-24,76.22,73.6,76.5,73.59,1119700.0
2024-05-27,73.85,75.71,75.89,71.29,1703100.0
2024-05-28,75.8,74.82,77.49,74.82,1722700.0
2024-05-29,74.85,73.45,75.42,73.2,1306100.0
2024-05-30,72.88,74.22,74.92,72.58,1934500.0
2024-05-31,74.21,74.64,74.82,73.46,1634100.0
2024-06-03,75.32,77.4,78.42,75.3,3328800.0
2024-06-04,78.67,77.74,78.67,76.22,1687200.0
2024-06-05,77.72,78.42,79.49,77.38,2100100.0
2024-06-06,78.76,77.62,80.21,77.62,1990800.0
2024-06-07,77.98,78.26,79.56,77.35,1725900.0
2024-06-11,78.43,81.39,81.42,78.23,3353800.0
2024-06-12,81.72,82.52,83.64,80.92,3622600.0
2024-06-13,83.71,85.77,88.07,83.71,5042300.0
2024-06-14,85.37,81.52,85.6,81.52,5428900.0
2024-06-17,82.3,84.1,85.09,81.72,2950200.0
2024-06-18,84.1,84.35,85.32,83.51,2033900.0
2024-06-19,84.87,83.6,85.45,82.37,1622200.0
2024-06-20,83.72,83.93,86.32,83.22,2055800.0
2024-06-21,83.22,85.01,85.55,81.72,1908600.0
2024-06-24,84.47,82.3,86.22,82.17,2001800.0
2024-06-25,82.72,78.92,82.8,78.18,1727000.0
2024-06-26,79.3,79.87,80.32,78.27,1589000.0
2024-06-27,79.49,81.06,81.71,78.13,2059700.0
2024-06-28,80.24,83.23,83.52,79.75,1661700.0
2024-07-01,83.59,83.93,84.72,81.22,1344800.0
2024-07-02,83.93,83.34,85.11,82.76,1013600.0
2024-07-03,82.97,86.49,86.7,82.3,1553700.0
2024-07-04,86.42,85.81,87.61,85.52,1386400.0
2024-07-05,86.21,84.65,86.22,82.47,1567600.0
2024-07-08,84.7,84.83,86.93,84.22,1414900.0
2024-07-09,84.82,87.61,87.98,84.7,1570300.0
2024-07-10,88.2,85.67,88.2,85.64,1174900.0
2024-07-11,86.62,86.73,87.52,85.1,1349100.0
2024-07-12,86.51,87.52,88.17,85.22,1038700.0
2024-07-15,87.79,89.05,90.04,87.72,1162000.0
2024-07-16,88.58,89.43,89.5,87.34,1424100.0
2024-07-17,89.07,91.22,91.97,87.73,2042000.0
2024-07-18,90.24,92.65,93.34,89.6,1949100.0
2024-07-19,92.36,92.36,93.85,91.15,1771800.0
2024-07-22,93.13,94.35,94.35,92.14,1692700.0
2024-07-23,94.33,88.71,94.85,88.35,1770800.0
2024-07-24,88.71,86.35,89.15,85.53,1544400.0
2024-07-25,85.37,85.53,86.91,85.09,921500.0
2024-07-26,85.79,87.15,87.91,85.4,837000.0
2024-07-29,87.35,86.22,89.33,85.86,1085500.0
2024-07-30,86.33,88.28,88.68,83.7,1240400.0
2024-07-31,87.32,90.15,90.55,87.31,1831700.0
2024-08-01,89.79,91.35,92.55,89.56,1619700.0
2024-08-02,89.85,88.96,91.84,88.84,1192200.0
2024-08-05,88.32,86.01,89.35,85.93,1244900.0
2024-08-06,87.52,87.5,88.05,85.97,845300.0
2024-08-07,87.12,90.63,92.84,86.7,1797500.0
2024-08-08,94.34,95.95,97.35,92.23,3663300.0
2024-08-09,98.05,94.88,98.35,94.53,1910900.0
2024-08-12,93.95,93.54,97.11,93.15,1515100.0
2024-08-13,94.33,93.56,94.68,91.25,1575600.0
2024-08-14,94.23,91.66,94.85,91.65,1005600.0
2024-08-15,92.31,92.1,92.86,90.86,1433300.0
