date,open,close,high,low,volume
2024-01-02,153.33,149.22,153.33,143.58,2270300.0
2024-01-03,147.93,148.06,150.55,143.87,1459300.0
2024-01-04,147.11,147.59,150.33,146.23,1284400.0
2024-01-05,147.26,145.56,149.26,144.77,1029600.0
2024-01-08,144.08,138.86,144.54,135.78,2108200.0
2024-01-09,139.74,134.81,141.77,133.86,1649500.0
2024-01-10,134.33,132.87,135.75,131.15,1082300.0
2024-01-11,132.85,134.46,135.75,132.34,1157900.0
2024-01-12,134.85,133.11,138.8,133.11,1314100.0
2024-01-15,134.06,129.59,135.07,128.86,2005800.0
2024-01-16,129.67,131.02,133.98,128.32,1639400.0
2024-01-17,131.16,125.07,131.41,124.95,1635400.0
2024-01-18,124.29,123.38,125.61,119.46,2515200.0
2024-01-19,124.85,124.71,127.3,122.23,2214200.0
2024-01-22,124.14,116.17,125.47,115.04,2227100.0
2024-01-23,119.53,115.33,120.18,111.04,4076600.0
2024-01-24,117.48,115.87,118.59,113.03,2664200.0
2024-01-25,115.87,122.23,123.45,115.87,3414600.0
2024-01-26,121.62,116.35,121.62,116.19,2191900.0
2024-01-29,117.5,113.83,120.67,113.44,1824800.0
2024-01-30,113.74,110.49,116.35,109.72,1838900.0
2024-01-31,111.34,109.38,113.89,107.69,2140900.0
2024-02-01,109.52,112.01,115.45,108.0,2882200.0
2024-02-02,112.74,107.12,113.22,103.99,2553800.0
2024-02-05,107.03,104.65,109.19,98.23,2916200.0
2024-02-06,105.33,118.36,118.71,103.29,3332900.0
2024-02-07,118.96,122.56,125.38,116.71,3928100.0
2024-02-08,124.94,127.8,133.82,122.23,2913400.0
2024-02-19,128.32,126.15,128.32,122.71,2737800.0
2024-02-20,124.94,124.28,126.95,122.24,1656600.0
2024-02-21,122.91,125.61,129.79,121.18,1961900.0
2024-02-22,125.83,127.3,128.08,124.45,1771300.0
2024-02-23,127.37,125.06,128.78,122.97,2196200.0
2024-02-26,124.55,126.97,129.59,123.8,2088800.0
2024-02-27,127.38,133.31,133.39,126.29,2365300.0
2024-02-28,134.39,127.9,136.82,127.78,2444300.0
2024-02-29,130.34,143.53,144.53,129.77,4217200.0
2024-03-01,145.9,141.02,146.23,138.01,2980400.0
2024-03-04,141.84,140.56,142.52,138.13,2412400.0
2024-03-05,140.16,139.13,142.5,137.53,2333100.0
2024-03-06,139.0,137.4,139.01,134.13,2318200.0
2024-03-07,138.45,136.44,142.18,136.44,2020000.0
2024-03-08,136.44,137.03,139.87,134.92,2527200.0
2024-03-11,135.08,138.53,139.09,133.73,1613600.0
2024-03-12,138.53,140.14,143.24,137.44,2138200.0
2024-03-13,141.15,138.16,143.19,138.16,1806600.0
2024-03-14,136.52,135.18,139.0,134.4,1569900.0
2024-03-15,135.75,137.3,137.78,134.21,1496800.0
2024-03-18,137.44,139.78,141.03,135.42,2012600.0
2024-03-19,139.74,138.57,141.56,138.16,1597300.0
2024-03-20,137.12,138.36,139.47,136.84,1139500.0
2024-03-21,142.38,141.16,145.63,140.7,2087900.0
2024-03-22,142.52,145.56,149.43,141.16,2661000.0
2024-03-25,146.49,141.19,147.93,139.86,2479300.0
2024-03-26,139.87,135.31,143.37,135.13,1876700.0
2024-03-27,135.08,128.99,136.43,128.99,1502700.0
2024-03-28,128.32,125.71,130.1,124.6,2784700.0
2024-03-29,125.74,126.63,127.71,122.34,2156000.0
2024-04-01,127.31,124.87,128.77,123.99,1906400.0
2024-04-02,124.87,120.77,124.87,119.93,2234300.0
2024-04-03,120.27,121.45,124.12,119.28,1987900.0
2024-04-08,124.26,120.41,126.96,120.4,1818400.0
2024-04-09,119.53,121.55,121.96,118.85,1137800.0
2024-04-10,120.2,117.3,121.57,117.2,1225700.0
2024-04-11,116.75,115.2,119.19,114.88,1554800.0
2024-04-12,114.79,114.79,116.75,113.44,1285100.0
2024-04-15,116.13,124.24,125.42,116.12,2925000.0
2024-04-16,122.23,119.46,125.34,118.86,1879900.0
2024-04-17,120.88,125.12,125.27,118.17,2343000.0
2024-04-18,123.62,121.82,124.9,121.63,1658200.0
2024-04-19,119.53,114.56,121.76,113.63,2062400.0
2024-04-22,111.95,117.09,119.24,109.92,1746100.0
2024-04-23,117.73,119.93,120.88,115.61,1521400.0
2024-04-24,120.32,123.11,125.35,119.65,1603800.0
2024-04-25,121.89,122.56,124.11,121.39,1101600.0
2024-04-26,123.6,123.48,124.25,120.93,2068700.0
2024-04-29,122.23,129.59,130.97,121.55,2468600.0
2024-04-30,126.84,122.01,127.64,119.73,5119600.0
2024-05-06,124.94,122.79,125.52,121.98,2103600.0
2024-05-07,121.76,122.14,124.91,121.59,1387100.0
2024-05-08,122.84,115.49,123.1,113.79,2486600.0
2024-05-09,115.48,120.93,123.24,115.45,3131300.0
2024-05-10,121.89,117.76,122.59,115.72,2694000.0
2024-05-13,115.81,112.95,117.48,112.23,2335300.0
2024-05-14,113.78,113.18,115.47,111.49,1279400.0
2024-05-15,112.22,117.84,119.53,111.02,2375800.0
2024-05-16,117.71,117.75,120.12,116.83,1421700.0
2024-05-17,116.82,121.85,121.96,116.52,1618900.0
2024-05-20,121.26,120.56,123.43,119.09,1215700.0
2024-05-21,120.2,124.61,125.27,119.72,2071700.0
2024-05-22,124.92,123.67,125.26,121.8,1314300.0
2024-05-23,124.27,126.02,126.88,122.98,2169300.0
2024-05-24,125.54,122.52,126.02,121.89,1237500.0
2024-05-27,122.16,128.65,130.95,118.21,2735200.0
2024-05-28,128.59,126.02,130.68,125.95,1916700.0
2024-05-29,126.22,123.42,126.67,122.91,1210700.0
2024-05-30,122.83,126.12,128.21,122.24,1810500.0
2024-05-31,126.9,124.44,128.76,123.69,1504400.0
2024-06-03,123.45,129.47,129.67,123.45,2200500.0
2024-06-04,128.99,129.88,131.49,127.67,1546100.0
2024-06-05,129.67,131.76,133.49,129.4,2011000.0
2024-06-06,131.89,134.56,137.69,131.89,2157100.0
2024-06-07,134.38,137.17,139.74,133.4,1575600.0
2024-06-11,136.56,144.0,145.4,136.56,3732700.0
2024-06-12,143.12,141.29,145.39,139.6,3542100.0
2024-06-13,142.39,144.17,145.28,141.5,3107400.0
2024-06-14,142.9,138.32,142.9,137.68,4754200.0
