date,open,close,high,low,volume
2024-04-01,117.81,116.16,118.75,113.0,72330
2024-04-02,115.44,113.68,118.12,112.04,58832
2024-04-03,111.88,107.79,113.49,105.37,96282
2024-04-08,107.6,105.68,108.98,105.01,49611
2024-04-09,104.75,104.74,106.03,100.38,58438
2024-04-10,104.36,99.72,104.69,98.66,61619
2024-04-11,102.01,103.81,104.93,100.67,78710
2024-04-12,105.69,106.51,108.58,104.7,74682
2024-04-15,106.38,102.09,106.71,99.44,74783
2024-04-16,100.54,96.24,101.21,95.89,76422
2024-04-17,97.99,99.73,100.72,96.67,86210
2024-04-18,99.66,99.73,102.68,95.93,79866
2024-04-19,98.99,93.9,99.8,93.9,70154
2024-04-22,88.21,91.78,93.62,86.26,65599
2024-04-23,92.38,92.44,93.62,90.6,43212
2024-04-24,92.95,101.81,102.68,91.95,97570
2024-04-25,100.17,99.66,102.18,99.25,45273
2024-04-26,103.02,107.71,108.62,101.81,95827
2024-04-29,108.39,113.77,118.13,108.39,112123
2024-04-30,112.42,114.02,115.44,110.05,77287
2024-05-06,117.11,109.54,117.55,109.07,85354
2024-05-07,110.85,106.64,113.05,105.5,80910
2024-05-08,105.7,106.51,109.03,104.03,54944
2024-05-09,107.73,118.53,119.94,107.05,137566
2024-05-10,115.77,113.33,116.56,111.18,86288
2024-05-13,111.24,110.57,114.43,109.58,53544
2024-05-14,112.42,113.06,117.28,108.81,84307
2024-05-15,111.09,115.81,117.74,109.64,86412
2024-05-16,119.26,120.91,125.01,117.13,100215
2024-05-17,117.79,127.07,130.46,117.13,98885
2024-05-20,125.77,130.49,136.97,123.49,113332
2024-05-21,129.41,124.5,134.11,124.04,93106
2024-05-22,124.5,125.83,126.85,121.27,64308
2024-05-23,126.58,122.28,128.52,120.82,65606
2024-05-24,123.15,114.36,124.16,112.95,111362
2024-05-27,113.09,117.11,118.19,110.39,98148
2024-05-28,116.11,114.6,121.81,114.43,80918
2024-05-29,115.97,114.43,118.89,113.16,57707
2024-05-30,113.31,114.79,116.44,112.17,52393
2024-05-31,115.1,116.3,120.4,113.72,71075
2024-06-03,114.8,120.46,121.52,114.77,74978
2024-06-04,119.03,119.51,121.51,117.17,47566
2024-06-05,119.13,119.87,123.83,118.79,57908
2024-06-06,123.15,115.35,123.74,114.77,86661
2024-06-07,116.4,120.47,121.18,114.16,82880
2024-06-11,121.81,126.79,126.85,120.48,99547
2024-06-12,126.79,126.38,128.05,125.18,53384
2024-06-13,128.52,130.22,135.23,127.64,94777
2024-06-14,129.19,133.23,133.56,127.35,82144
2024-06-17,131.88,140.6,142.48,131.18,106219
2024-06-18,140.58,139.33,145.3,136.71,85658
2024-06-19,139.0,144.84,147.99,139.0,97451
2024-06-20,144.87,143.11,148.12,141.64,79963
2024-06-21,140.52,143.48,144.97,137.05,65982
2024-06-24,143.15,137.46,144.4,135.92,82881
2024-06-25,136.6,131.34,136.78,130.54,90499
2024-06-26,133.79,135.21,136.4,129.2,80041
2024-06-27,132.21,132.29,136.58,131.66,52476
2024-06-28,131.88,132.33,136.07,130.6,73578
2024-07-01,132.89,136.47,136.91,131.21,63093
2024-07-02,135.91,131.21,136.38,130.25,66555
2024-07-03,130.65,130.2,131.88,124.87,69736
2024-07-04,131.11,128.83,132.4,128.52,39365
2024-07-05,128.2,128.39,131.21,124.83,53113
2024-07-08,127.52,128.19,130.46,125.87,42330
2024-07-09,127.52,138.15,139.06,127.32,80163
2024-07-10,137.25,140.7,141.19,137.25,57777
2024-07-11,142.28,134.33,143.29,132.48,81693
2024-07-12,131.21,132.82,134.3,129.27,41878
2024-07-15,132.82,138.72,140.6,132.39,64816
2024-07-16,138.59,166.67,166.67,138.59,193074
2024-07-17,165.44,165.4,171.85,164.81,121511
2024-07-18,162.75,169.46,171.79,152.36,152522
2024-07-19,166.03,179.13,185.97,164.1,154850
2024-07-22,178.86,176.99,182.13,173.83,103570
2024-07-23,175.5,165.74,177.67,164.89,121888
2024-07-24,166.11,174.33,180.87,166.11,131136
2024-07-25,173.89,170.67,176.85,167.97,86363
2024-07-26,171.01,167.27,171.48,164.84,81413
2024-07-29,167.46,164.44,169.06,157.85,79194
2024-07-30,164.45,163.02,168.62,162.08,70363
2024-07-31,160.1,176.21,179.18,160.1,108589
2024-08-01,178.86,172.15,181.54,171.31,89383
2024-08-02,167.37,163.49,173.82,162.0,98285
2024-08-05,158.04,153.15,164.43,151.77,119363
2024-08-06,158.74,155.68,160.07,152.21,68356
2024-08-07,155.36,153.02,158.05,149.19,69090
2024-08-08,150.2,153.05,156.88,147.62,67953
2024-08-09,156.72,164.74,166.78,154.48,111547
2024-08-12,162.7,160.77,165.44,158.8,56340
2024-08-13,161.4,160.54,164.19,155.82,54296
2024-08-14,161.41,161.19,168.39,160.74,66342
2024-08-15,159.46,160.95,164.69,159.4,47683
2024-08-16,162.87,163.15,167.45,160.74,62725
2024-08-19,163.69,170.13,172.15,163.69,65807
2024-08-20,170.88,165.42,171.87,164.48,53225
2024-08-21,164.68,176.07,179.99,163.42,82927
2024-08-22,175.5,173.95,178.83,172.66,52001
2024-08-23,172.22,168.81,173.93,165.3,64072
2024-08-26,168.12,164.91,169.61,162.35,49505
2024-08-27,163.49,162.82,164.09,159.99,37044
2024-08-28,162.75,160.2,165.7,157.52,46409
2024-08-29,154.7,160.26,162.0,154.7,45386
2024-08-30,160.07,171.27,175.34,156.91,84683
2024-09-02,177.3,168.21,178.81,168.18,80100
2024-09-03,168.12,160.54,170.95,160.13,74196
2024-09-04,156.71,159.49,160.87,155.15,56392
2024-09-05,159.5,137.85,161.46,136.75,146303
2024-09-06,140.6,143.41,146.42,139.93,106176
2024-09-09,143.28,140.41,144.48,135.83,84617
2024-09-10,140.41,142.4,145.38,137.9,66279
2024-09-11,141.95,143.73,144.83,140.6,43096
2024-09-12,146.63,142.95,147.31,142.62,41144
2024-09-13,144.33,146.98,150.2,142.46,67555
2024-09-18,145.3,139.94,147.68,137.84,61560
2024-09-19,140.47,139.6,141.28,136.61,50240
2024-09-20,139.6,139.17,143.21,137.92,40616
2024-09-23,140.95,141.68,146.98,139.93,61299
2024-09-24,142.17,147.85,151.6,140.27,82121
2024-09-25,150.83,147.99,155.76,147.85,78413
2024-09-26,147.91,149.33,149.33,143.62,76307
2024-09-27,148.66,160.72,163.42,144.91,78793
2024-09-30,170.81,193.06,193.06,162.74,166304
2024-10-08,231.87,231.87,231.87,217.11,131335
2024-10-09,233.22,248.32,277.52,201.89,296764
2024-10-10,248.66,232.01,254.03,207.05,176812
2024-10-11,224.83,222.48,241.95,221.81,131082
2024-10-14,224.57,250.07,250.59,224.57,136936
2024-10-15,245.97,237.62,253.02,237.62,111422
2024-10-16,228.52,228.65,236.92,225.84,72915
2024-10-17,238.05,239.32,250.6,236.22,102695
2024-10-18,240.6,287.39,287.39,238.6,148971
2024-10-21,303.69,296.98,336.8,280.54,228873
2024-10-22,287.59,281.54,297.01,277.98,153579
2024-10-23,276.85,280.2,287.48,271.26,126428
2024-10-24,271.48,284.36,289.6,271.48,103689
2024-10-25,286.24,282.14,297.32,275.97,102146
2024-10-28,284.23,290.74,292.68,279.28,90451
2024-10-29,288.26,290.28,318.05,288.11,113630
2024-10-30,284.23,297.82,302.97,281.54,102107
2024-10-31,318.46,303.42,322.86,301.68,130426
2024-11-01,298.32,274.84,308.93,274.83,135254
2024-11-04,273.41,274.79,278.79,269.32,83833
2024-11-05,272.11,292.86,300.34,271.55,117852
2024-11-06,294.97,305.03,314.69,293.77,113296
2024-11-07,301.97,318.46,326.51,297.66,113919
2024-11-08,326.52,288.26,329.89,280.87,214538
