total_return,annual_return,max_drawdown,sharpe,calmar_calc,num_trades,win_rate,score,param_str
4.457160633961929,2.1247181302007023,-0.21111715363399497,0,10.064166239585807,0,0.6129032258064516,0.4407499118811458,"ATR=2.5 sym=0.4 add=0.3 S1=(20, 15) S2=(50, 20)"
4.457160633961929,2.1247181302007023,-0.21111715363399497,0,10.064166239585807,0,0.6129032258064516,0.4407499118811458,"ATR=2.5 sym=0.4 add=0.5 S1=(20, 15) S2=(50, 20)"
3.0640139523263032,1.5636687982497852,-0.24718900834392266,0,6.325802302965666,0,0.6153846153846154,0.2682958664010409,"ATR=2.5 sym=0.5 add=0.3 S1=(20, 15) S2=(50, 20)"
3.0643467266677034,1.5638097407731637,-0.24718900834392266,0,6.326372484157471,0,0.6153846153846154,0.26831923323057827,"ATR=2.5 sym=0.5 add=0.5 S1=(20, 15) S2=(50, 20)"
3.5203848559396524,1.7535621787541409,-0.25864627748043734,0,6.779769636880899,0,0.56,0.27663727143337713,"ATR=2.5 sym=0.6 add=0.3 S1=(20, 15) S2=(50, 20)"
3.5205598390230533,1.7536337443191718,-0.25864627748043734,0,6.780046329689812,0,0.56,0.27664955843803185,"ATR=2.5 sym=0.6 add=0.5 S1=(20, 15) S2=(50, 20)"
2.213500428977177,1.189742768265643,-0.2055779050160753,0,5.787308554256403,0,0.625,0.29466428944790607,"ATR=3.0 sym=0.4 add=0.3 S1=(20, 15) S2=(50, 20)"
2.165271109155677,1.1676223207445235,-0.20440279301585507,0,5.712359912097452,0,0.625,0.29370892250075864,"ATR=3.0 sym=0.4 add=0.5 S1=(20, 15) S2=(50, 20)"
2.4512085526042777,1.297217802767682,-0.2007552603007422,0,6.461687732736765,0,0.7368421052631579,0.3213333958656466,"ATR=3.0 sym=0.5 add=0.3 S1=(20, 15) S2=(50, 20)"
2.4512085526042777,1.297217802767682,-0.2007552603007422,0,6.461687732736765,0,0.7368421052631579,0.3213333958656466,"ATR=3.0 sym=0.5 add=0.5 S1=(20, 15) S2=(50, 20)"
1.970620865408077,1.0771933790993438,-0.20498404451442565,0,5.255010855362144,0,0.6470588235294118,0.278838362330777,"ATR=3.0 sym=0.6 add=0.3 S1=(20, 15) S2=(50, 20)"
1.975386699633602,1.0794302738737915,-0.20498404451442565,0,5.265923386528883,0,0.6470588235294118,0.2791730108360759,"ATR=3.0 sym=0.6 add=0.5 S1=(20, 15) S2=(50, 20)"
1.6387845014657265,0.9183908837555246,-0.19533644215884527,0,4.70158498642409,0,0.5238095238095238,0.2754975004800683,"ATR=3.5 sym=0.4 add=0.3 S1=(20, 15) S2=(50, 20)"
1.6387845014657265,0.9183908837555246,-0.19533644215884527,0,4.70158498642409,0,0.5238095238095238,0.2754975004800683,"ATR=3.5 sym=0.4 add=0.5 S1=(20, 15) S2=(50, 20)"
4.947541926719202,2.3105653286662893,-0.2640324516046453,0,8.7510656914479,0,0.47619047619047616,0.3657061771320047,"ATR=3.5 sym=0.5 add=0.3 S1=(20, 15) S2=(50, 20)"
4.917149000401128,2.299197074288599,-0.2640324516046453,0,8.708009414431192,0,0.47619047619047616,0.36357203924917025,"ATR=3.5 sym=0.5 add=0.5 S1=(20, 15) S2=(50, 20)"
1.8148310072302767,1.0034072082638117,-0.21488940045674865,0,4.669412293631347,0,0.5625,0.24740569646336513,"ATR=3.5 sym=0.6 add=0.3 S1=(20, 15) S2=(50, 20)"
1.804430594796051,0.9984341588175434,-0.21488940045674865,0,4.646269926275404,0,0.5625,0.24667539777673345,"ATR=3.5 sym=0.6 add=0.5 S1=(20, 15) S2=(50, 20)"
1.577611385435826,0.8884162974084848,-0.23383327886089555,0,3.7993578233874588,0,0.5333333333333333,0.19155520787568292,"ATR=4.0 sym=0.4 add=0.3 S1=(20, 15) S2=(50, 20)"
1.577611385435826,0.8884162974084848,-0.23383327886089555,0,3.7993578233874588,0,0.5333333333333333,0.19155520787568292,"ATR=4.0 sym=0.4 add=0.5 S1=(20, 15) S2=(50, 20)"
