date,open,high,low,close,volume
2024-01-02,54.16,54.17,52.29,52.29,6152900.0
2024-01-03,51.94,52.23,49.83,50.31,8828600.0
2024-01-04,50.43,50.43,48.38,48.68,9049200.0
2024-01-05,48.72,48.99,47.1,47.44,6607900.0
2024-01-08,47.96,47.96,46.0,46.29,8000200.0
2024-01-09,46.69,47.31,45.83,46.33,6724200.0
2024-01-10,46.02,46.49,45.14,45.48,5901800.0
2024-01-11,45.34,46.45,45.23,46.2,5987300.0
2024-01-12,46.0,46.0,45.17,45.33,4504100.0
2024-01-15,45.11,45.91,44.93,45.12,4672000.0
2024-01-16,44.81,45.05,43.66,44.43,6731100.0
2024-01-17,44.33,44.33,42.74,42.79,5680500.0
2024-01-18,42.43,43.38,41.43,43.08,8462900.0
2024-01-19,43.21,43.74,42.75,42.79,5221500.0
2024-01-22,42.57,42.88,39.86,40.38,9338300.0
2024-01-23,40.32,42.08,39.96,41.73,8240100.0
2024-01-24,41.95,42.23,39.74,41.73,8438400.0
2024-01-25,41.77,43.91,40.81,43.63,10444600.0
2024-01-26,43.21,43.39,41.78,41.88,8245800.0
2024-01-29,41.87,42.78,40.08,40.23,7892700.0
2024-01-30,40.03,40.57,38.51,38.61,5947900.0
2024-01-31,38.5,39.1,37.15,37.28,7006500.0
2024-02-01,37.44,38.8,36.58,37.54,6776400.0
2024-02-02,37.73,38.07,33.86,35.36,8813000.0
2024-02-05,35.0,35.13,31.67,32.75,12124800.0
2024-02-06,32.12,36.18,32.12,36.18,12476000.0
2024-02-07,36.56,39.93,36.33,39.42,20480900.0
2024-02-08,39.93,42.74,39.52,41.88,14410000.0
2024-02-19,43.63,43.92,41.68,43.48,14386400.0
2024-02-20,42.77,43.6,42.21,43.24,8014400.0
2024-02-21,42.91,45.34,42.66,43.49,9786900.0
2024-02-22,43.87,45.86,43.86,45.36,10912800.0
2024-02-23,46.13,46.13,44.43,44.99,8526900.0
2024-02-26,45.07,46.03,44.75,45.31,7515000.0
2024-02-27,44.92,46.73,44.59,46.73,9046400.0
2024-02-28,46.43,47.94,44.03,44.29,11368800.0
2024-02-29,43.77,48.88,43.71,48.88,16853600.0
2024-03-01,49.63,49.83,48.34,48.7,12702200.0
2024-03-04,49.13,52.71,48.81,51.86,18989200.0
