date,open,high,low,close,volume
2024-01-02,42.65,42.7,41.85,41.94,2051800.0
2024-01-03,41.84,42.2,41.32,41.47,1524100.0
2024-01-04,41.58,41.59,40.85,40.99,1385600.0
2024-01-05,40.97,41.34,40.68,40.92,2035100.0
2024-01-08,40.81,40.81,39.62,39.67,2249500.0
2024-01-09,39.84,40.18,39.55,40.09,1604300.0
2024-01-10,39.85,40.05,39.33,39.41,1284200.0
2024-01-11,39.41,40.1,39.3,39.86,1512000.0
2024-01-12,39.75,39.98,39.57,39.57,1176300.0
2024-01-15,39.47,39.73,38.61,39.01,2133900.0
2024-01-16,38.86,39.14,38.17,38.68,2009900.0
2024-01-17,38.57,38.67,37.17,37.21,2505400.0
2024-01-18,37.05,37.77,36.63,37.72,2506300.0
2024-01-19,37.69,38.09,36.97,37.02,1963200.0
2024-01-22,37.21,37.23,34.76,35.12,2841000.0
2024-01-23,35.12,35.94,34.85,35.64,1807600.0
2024-01-24,35.83,35.95,34.44,35.8,2644400.0
2024-01-25,35.8,37.21,35.27,37.15,3067100.0
2024-01-26,36.85,37.33,36.58,36.69,1984200.0
2024-01-29,37.65,38.43,36.78,36.91,3164300.0
2024-01-30,36.47,36.47,34.78,34.86,2669300.0
2024-01-31,34.46,34.99,33.13,33.24,3650200.0
2024-02-01,33.1,34.07,32.55,33.26,2691800.0
2024-02-02,33.35,33.68,31.25,31.9,2894600.0
2024-02-05,31.52,32.17,29.35,30.48,4337300.0
2024-02-06,29.88,33.51,29.83,33.01,4209600.0
2024-02-07,32.34,32.34,27.75,29.33,40477400.0
2024-02-08,28.84,30.83,28.56,30.36,24055500.0
2024-02-19,30.95,31.11,29.72,30.49,26074600.0
2024-02-20,30.35,30.35,29.62,30.04,16421200.0
2024-02-21,29.95,31.33,29.76,30.58,21206500.0
2024-02-22,30.54,31.6,30.4,31.6,19889000.0
2024-02-23,31.75,32.08,31.05,31.9,18122800.0
2024-02-26,31.66,32.92,31.61,32.44,17832600.0
2024-02-27,32.25,34.4,31.92,34.25,22148000.0
2024-02-28,34.12,34.65,31.96,31.99,25314400.0
2024-02-29,31.79,34.21,31.73,34.09,21973500.0
2024-03-01,34.1,35.18,34.01,34.85,20112000.0
2024-03-04,35.05,35.25,34.05,34.61,13168900.0
2024-03-05,34.44,34.64,33.44,33.76,12896800.0
2024-03-06,33.44,34.13,32.98,33.58,11107300.0
2024-03-07,33.74,34.18,32.79,32.9,12134300.0
2024-03-08,33.04,33.83,32.66,33.62,11482300.0
2024-03-11,33.35,34.22,33.05,34.15,10824400.0
2024-03-12,34.13,34.74,33.88,34.2,10037500.0
2024-03-13,34.44,34.64,33.79,33.88,10191200.0
2024-03-14,33.67,34.01,32.99,33.37,9478900.0
2024-03-15,33.2,33.59,32.89,33.59,7898500.0
2024-03-18,33.7,34.38,33.58,34.37,10098800.0
2024-03-19,34.3,34.61,33.91,33.92,7949000.0
2024-03-20,34.0,34.17,33.71,34.03,6235200.0
2024-03-21,34.23,34.72,34.05,34.27,11508600.0
2024-03-22,34.2,34.48,33.33,33.33,10242400.0
2024-03-25,33.11,33.11,32.06,32.06,9849400.0
2024-03-26,32.02,32.33,31.26,31.6,6442000.0
2024-03-27,31.63,31.74,30.35,30.38,7091800.0
2024-03-28,30.38,31.31,30.38,30.75,7503500.0
2024-03-29,30.75,30.98,30.4,30.96,5151300.0
2024-04-01,31.0,31.48,31.0,31.41,5155300.0
2024-04-02,31.45,31.47,30.91,31.06,4430000.0
2024-04-03,31.45,31.74,30.89,31.01,6860300.0
2024-04-08,30.73,30.73,29.92,29.92,6687300.0
2024-04-09,29.92,30.62,29.92,30.6,4919500.0
2024-04-10,30.45,30.54,29.68,29.86,4229600.0
2024-04-11,29.67,30.26,29.04,29.74,6268600.0
2024-04-12,29.74,30.13,29.45,29.46,4549100.0
2024-04-15,29.28,30.01,29.1,29.64,5378600.0
2024-04-16,29.63,29.63,28.44,28.48,5997800.0
2024-04-17,28.65,29.64,28.65,29.62,6123900.0
2024-04-18,29.46,29.98,29.14,29.55,4969900.0
2024-04-19,29.33,29.41,28.76,28.84,4741200.0
2024-04-22,28.65,29.1,28.26,28.93,3628500.0
2024-04-23,28.97,29.14,28.7,28.77,3357300.0
2024-04-24,28.86,29.23,28.53,29.21,5415000.0
2024-04-25,29.08,29.9,28.76,29.54,6898500.0
2024-04-26,29.38,30.13,29.31,30.01,6804700.0
2024-04-29,30.05,31.02,30.03,30.9,7407700.0
2024-04-30,30.85,30.85,30.14,30.26,5821100.0
2024-05-06,30.79,30.98,30.6,30.86,5723500.0
2024-05-07,30.86,31.03,30.72,30.91,3927800.0
2024-05-08,30.86,31.07,30.32,30.41,4669800.0
2024-05-09,30.51,32.34,30.45,32.05,14113500.0
2024-05-10,31.56,32.11,31.25,31.72,11571600.0
2024-05-13,31.45,31.54,30.8,30.92,6837000.0
2024-05-14,31.11,31.29,30.88,31.08,4530000.0
2024-05-15,31.01,31.1,30.37,30.45,4857800.0
2024-05-16,30.63,30.99,30.55,30.78,4384100.0
2024-05-17,30.75,32.17,30.56,32.15,10078100.0
2024-05-20,32.2,32.31,31.73,31.85,5329200.0
2024-05-21,31.75,32.12,31.35,31.62,6153300.0
2024-05-22,31.63,32.57,31.55,32.43,7524300.0
2024-05-23,32.35,32.35,31.75,31.94,5959000.0
2024-05-24,31.95,32.14,31.54,31.55,4857400.0
2024-05-27,31.58,33.24,31.44,33.0,11664500.0
2024-05-28,33.0,34.2,32.65,32.66,11888600.0
2024-05-29,32.36,33.13,32.36,32.65,5454500.0
2024-05-30,32.47,34.27,32.26,33.76,13321900.0
2024-05-31,33.69,34.03,33.25,33.44,7201400.0
2024-06-03,33.6,34.93,33.55,34.1,11799200.0
