date,open,high,low,close,volume
2024-01-02,59.87,60.84,58.58,59.65,1501000.0
2024-01-03,59.23,60.7,58.87,59.86,1180100.0
2024-01-04,59.89,60.45,59.01,60.18,1009900.0
2024-01-05,59.87,61.12,59.71,60.5,1076600.0
2024-01-08,60.08,60.38,58.16,59.03,1356800.0
2024-01-09,58.89,59.28,57.07,58.18,1736000.0
2024-01-10,57.94,58.53,56.99,57.07,1021900.0
2024-01-11,57.07,58.83,56.88,58.37,872000.0
2024-01-12,58.25,59.23,57.61,58.91,806700.0
2024-01-15,58.27,60.36,57.93,58.74,1062400.0
2024-01-16,58.58,61.16,58.29,60.26,1343500.0
2024-01-17,59.87,60.0,58.26,58.26,577800.0
2024-01-18,57.33,59.23,55.81,58.94,1233200.0
2024-01-19,58.5,59.39,57.79,57.99,914100.0
2024-01-22,56.62,56.62,53.43,53.75,1920000.0
2024-01-23,53.43,55.19,52.81,53.43,1132700.0
2024-01-24,54.17,54.6,51.91,53.04,941400.0
2024-01-25,53.04,55.2,52.49,55.03,1084100.0
2024-01-26,54.69,54.71,52.7,52.78,827300.0
2024-01-29,52.98,54.05,50.79,50.79,920300.0
2024-01-30,50.52,50.52,47.14,47.32,1523600.0
2024-01-31,46.84,48.15,46.08,47.04,1355600.0
2024-02-01,46.82,50.73,46.34,49.08,1874200.0
2024-02-02,49.33,51.06,47.67,49.12,1630200.0
2024-02-05,49.05,51.49,46.54,50.78,1897000.0
2024-02-06,52.33,55.93,49.27,55.36,2111000.0
2024-02-07,55.48,59.51,54.44,59.1,2517600.0
2024-02-08,59.15,63.39,58.69,59.03,2108900.0
2024-02-19,60.36,60.36,57.35,59.88,1946200.0
2024-02-20,58.91,58.97,57.15,58.04,1537300.0
2024-02-21,56.65,60.39,56.65,58.81,1188600.0
2024-02-22,58.74,59.04,57.84,58.29,1014600.0
2024-02-23,58.31,58.74,56.81,57.73,1325000.0
2024-02-26,57.63,58.94,57.34,58.1,1048900.0
2024-02-27,57.65,60.8,57.46,60.52,1579000.0
2024-02-28,60.52,61.36,58.06,58.23,1430200.0
2024-02-29,58.26,64.38,58.26,64.38,2492700.0
2024-03-01,64.45,65.99,62.78,64.38,1530600.0
2024-03-04,64.22,65.93,64.2,64.28,1486100.0
2024-03-05,64.37,64.56,62.61,63.45,1257600.0
2024-03-06,63.45,64.87,62.26,62.8,1258300.0
2024-03-07,63.7,64.44,62.15,62.15,1117200.0
2024-03-08,62.0,63.78,62.0,63.0,1213000.0
2024-03-11,62.77,63.58,61.48,63.46,895000.0
2024-03-12,63.49,65.56,63.12,63.75,1166000.0
2024-03-13,64.0,64.38,63.11,63.11,720000.0
2024-03-14,62.77,63.28,61.0,61.48,959100.0
2024-03-15,61.79,62.03,60.64,61.05,804200.0
2024-03-18,61.16,62.35,60.04,61.77,1484000.0
2024-03-19,61.16,63.03,60.97,61.02,1209600.0
2024-03-20,60.84,61.47,59.56,60.53,1166200.0
2024-03-21,60.84,62.13,59.92,61.33,1270000.0
2024-03-22,61.29,63.05,60.62,60.68,1400400.0
2024-03-25,60.13,62.06,59.0,60.45,1591800.0
