date,open,high,low,close,volume
2024-01-02,57.92,57.93,56.62,56.74,5742400.0
2024-01-03,56.51,57.12,54.93,55.68,7393100.0
2024-01-04,55.62,56.17,54.62,55.01,7207300.0
2024-01-05,55.12,55.82,54.34,54.78,6536300.0
2024-01-08,54.42,55.51,53.45,53.72,8901900.0
2024-01-09,54.12,56.27,54.12,55.67,10516700.0
2024-01-10,55.18,55.78,53.45,54.06,7007700.0
2024-01-11,54.12,56.32,53.66,56.1,7978900.0
2024-01-12,55.72,56.59,54.62,54.71,4882600.0
2024-01-15,53.92,56.22,53.23,53.52,11004000.0
2024-01-16,53.49,53.61,51.94,52.8,9153400.0
2024-01-17,52.82,52.99,51.55,51.71,6904600.0
2024-01-18,51.12,53.29,50.15,53.17,11224100.0
2024-01-19,53.12,54.62,52.78,54.25,9344600.0
2024-01-22,54.27,54.6,52.23,53.21,10393400.0
2024-01-23,52.51,53.63,51.51,53.28,9903900.0
2024-01-24,53.45,53.62,49.22,51.09,13236400.0
2024-01-25,50.87,51.36,49.69,50.79,14889600.0
2024-01-26,50.12,50.12,47.63,48.92,13742800.0
2024-01-29,49.4,50.61,47.25,47.75,14238900.0
2024-01-30,47.6,48.55,46.32,46.56,12156000.0
2024-01-31,46.72,46.79,44.28,44.32,15935100.0
2024-02-01,44.36,46.41,43.97,45.89,12336900.0
2024-02-02,45.9,46.32,42.53,43.92,13905500.0
2024-02-05,44.05,44.53,41.72,43.71,16714900.0
2024-02-06,44.32,47.06,42.89,46.83,13962200.0
2024-02-07,46.97,48.29,46.19,47.82,13045200.0
2024-02-08,48.37,49.37,47.92,49.02,12758800.0
2024-02-19,50.31,51.35,49.18,51.07,14726100.0
2024-02-20,50.62,51.52,49.82,50.77,9853900.0
2024-02-21,50.14,50.91,49.79,49.91,10018900.0
2024-02-22,50.22,50.9,50.12,50.47,9602500.0
2024-02-23,51.02,51.34,49.52,50.73,10659800.0
2024-02-26,50.6,52.09,50.18,51.32,10637600.0
2024-02-27,50.83,52.8,50.54,52.53,11794500.0
2024-02-28,52.56,53.38,49.88,49.89,13244600.0
2024-02-29,49.83,51.85,49.55,51.32,16292500.0
2024-03-01,51.61,52.6,51.07,52.29,13812900.0
2024-03-04,53.42,54.54,52.56,53.97,16806200.0
2024-03-05,53.62,54.39,53.24,53.59,14578300.0
2024-03-06,53.59,53.82,51.5,51.8,13126000.0
2024-03-07,52.37,52.4,49.72,50.42,14652000.0
2024-03-08,50.6,52.32,49.92,51.48,12908100.0
2024-03-11,50.7,51.3,49.7,51.19,13057600.0
2024-03-12,51.16,53.38,51.16,52.1,15364100.0
2024-03-13,52.52,53.26,51.87,52.04,10770500.0
2024-03-14,51.72,52.0,50.02,50.92,12704100.0
2024-03-15,50.82,51.57,50.02,51.52,12261900.0
2024-03-18,51.52,52.28,50.72,51.82,18365900.0
2024-03-19,51.73,51.78,47.44,47.92,36925700.0
2024-03-20,47.97,48.77,46.12,46.75,30373300.0
2024-03-21,48.52,50.32,48.12,48.79,35788400.0
2024-03-22,49.3,51.29,48.1,48.41,31908200.0
2024-03-25,48.0,48.47,46.67,47.07,17235900.0
2024-03-26,47.74,48.7,45.95,46.16,19344800.0
2024-03-27,45.4,45.9,44.39,44.42,14939500.0
2024-03-28,44.59,46.32,43.99,45.58,15572500.0
2024-03-29,45.45,45.45,44.17,45.07,10842600.0
2024-04-01,44.84,45.87,44.46,44.92,15241300.0
2024-04-02,45.45,45.64,44.64,44.87,13761400.0
2024-04-03,44.76,45.5,43.83,44.39,16059800.0
2024-04-08,44.46,44.72,42.92,43.02,16040000.0
2024-04-09,43.32,43.61,42.7,43.37,10704000.0
2024-04-10,43.77,43.77,41.32,42.27,20526700.0
2024-04-11,44.91,48.12,44.62,46.27,51777900.0
2024-04-12,46.27,48.0,45.97,47.06,31212900.0
2024-04-15,47.18,48.97,47.18,48.17,27104700.0
2024-04-16,47.91,48.08,46.74,46.9,19713500.0
2024-04-17,47.62,48.69,47.33,48.62,27178500.0
2024-04-18,47.72,48.0,46.63,46.76,25055200.0
2024-04-19,46.15,46.3,44.49,45.02,24409000.0
2024-04-22,44.06,46.3,43.15,45.85,18239400.0
2024-04-23,46.12,47.21,45.1,45.29,15834500.0
2024-04-24,45.62,46.31,45.11,46.21,14558000.0
2024-04-25,45.99,48.08,45.65,47.42,19556100.0
2024-04-26,48.82,50.41,48.12,49.89,34192400.0
2024-04-29,49.82,50.8,49.21,50.45,28993700.0
2024-04-30,49.62,50.92,49.62,50.03,16993900.0
2024-05-06,51.09,51.52,49.7,50.17,21362400.0
2024-05-07,50.44,50.57,49.39,49.66,16158700.0
2024-05-08,49.56,50.37,48.63,49.99,17325800.0
2024-05-09,49.82,50.49,49.23,50.18,20865000.0
2024-05-10,50.07,50.12,49.25,49.99,14310200.0
2024-05-13,49.12,51.02,48.49,49.98,17763000.0
2024-05-14,50.3,50.52,49.29,49.64,13398000.0
2024-05-15,49.19,50.28,48.75,48.8,12636000.0
2024-05-16,49.22,49.32,48.19,48.33,12843700.0
2024-05-17,48.12,48.71,47.41,48.58,12331600.0
2024-05-20,48.48,49.46,48.35,49.25,16355900.0
2024-05-21,49.18,50.09,48.87,49.02,10532900.0
2024-05-22,49.03,50.58,48.95,50.39,16818100.0
2024-05-23,50.62,50.88,49.66,49.92,14593500.0
2024-05-24,49.87,50.54,48.82,48.87,12681200.0
2024-05-27,48.72,51.99,48.45,51.74,23948700.0
2024-05-28,51.42,52.87,51.24,51.68,20836200.0
2024-05-29,52.12,52.4,51.44,51.91,13371000.0
2024-05-30,51.7,52.91,51.54,51.97,17399100.0
2024-05-31,52.19,52.82,51.65,52.12,15614900.0
2024-06-03,52.88,54.67,52.52,53.49,23127600.0
2024-06-04,53.12,53.56,52.02,52.75,14692400.0
