date,open,high,low,close,volume
2024-01-02,23.85,24.67,23.36,23.45,30648400.0
2024-01-03,23.21,23.33,22.17,22.71,39925600.0
2024-01-04,22.8,23.43,22.39,23.25,36782400.0
2024-01-05,23.1,23.1,21.65,21.79,38278500.0
2024-01-08,21.74,22.25,21.2,21.41,28253000.0
2024-01-09,22.06,22.59,21.83,22.1,39483200.0
2024-01-10,21.94,22.29,21.33,21.63,27496800.0
2024-01-11,21.48,22.73,21.48,22.4,35535100.0
2024-01-12,22.41,22.42,21.23,21.53,30612900.0
2024-01-15,21.24,23.24,21.23,22.88,56014400.0
2024-01-16,22.67,23.36,22.34,23.36,34256000.0
2024-01-17,23.52,24.48,23.4,23.6,49750800.0
2024-01-18,23.39,25.9,22.85,25.78,69556300.0
2024-01-19,25.55,25.9,24.98,25.02,46194600.0
2024-01-22,26.02,26.78,25.47,25.77,68893100.0
2024-01-23,25.56,27.36,25.51,26.93,60203600.0
2024-01-24,26.76,26.89,24.74,26.3,61984700.0
2024-01-25,25.61,27.29,25.3,26.83,61852800.0
2024-01-26,26.07,26.57,25.15,25.51,41924300.0
2024-01-29,25.09,25.09,20.92,21.78,59997000.0
2024-01-30,21.52,22.54,20.53,20.91,44558200.0
2024-01-31,20.4,21.87,20.16,20.61,44891200.0
2024-02-01,20.3,23.16,20.01,22.18,59958800.0
2024-02-02,22.17,23.26,21.61,22.19,48733800.0
2024-02-05,21.94,23.72,21.29,22.61,56998300.0
2024-02-06,21.63,25.7,21.53,25.41,59951200.0
2024-02-07,25.15,26.04,24.95,25.86,46911800.0
2024-02-08,26.63,28.86,26.35,26.99,57582500.0
2024-02-19,29.05,32.59,28.17,32.59,78938000.0
2024-02-20,31.12,32.55,30.61,31.12,63236100.0
2024-02-21,30.09,30.39,29.22,29.34,54991800.0
2024-02-22,30.61,30.76,28.49,29.62,56803000.0
2024-02-23,30.35,31.01,29.23,29.57,56130900.0
2024-02-26,28.63,30.96,28.6,29.96,46983900.0
2024-02-27,29.42,32.14,29.14,31.49,63561700.0
2024-02-28,30.92,31.42,28.54,28.54,57189100.0
2024-02-29,28.73,30.11,28.7,29.61,41371500.0
2024-03-01,29.74,32.68,29.73,32.04,72129800.0
2024-03-04,32.7,35.4,31.69,34.41,64183700.0
2024-03-05,33.82,36.71,33.6,34.02,69032100.0
2024-03-06,34.12,34.53,33.01,33.62,39358000.0
2024-03-07,34.13,34.5,32.33,32.36,42392800.0
2024-03-08,33.06,34.34,32.18,34.08,49619600.0
2024-03-11,32.33,33.97,32.02,33.62,46968800.0
2024-03-12,33.16,34.79,32.35,33.24,45578600.0
2024-03-13,34.28,34.46,32.71,32.92,42656400.0
2024-03-14,32.06,34.22,32.04,33.57,42317500.0
2024-03-15,33.01,38.9,32.4,38.25,86247500.0
2024-03-18,38.26,40.91,37.92,39.49,74865600.0
2024-03-19,38.42,39.02,37.46,38.29,47949400.0
2024-03-20,38.25,39.07,36.41,37.21,45320200.0
2024-03-21,37.24,39.02,36.86,37.35,42320300.0
2024-03-22,37.06,39.79,37.06,39.64,61302700.0
2024-03-25,38.77,39.64,37.57,37.68,44067200.0
2024-03-26,37.24,39.18,32.65,34.93,77210600.0
2024-03-27,35.2,35.71,32.93,33.17,51006600.0
2024-03-28,33.57,34.69,32.67,33.66,51349600.0
2024-03-29,33.18,33.77,32.45,33.16,31664300.0
2024-04-01,33.32,35.3,32.91,35.17,40659400.0
2024-04-02,34.74,36.45,34.54,35.38,41333700.0
2024-04-03,34.7,34.74,33.24,33.55,27640700.0
2024-04-08,32.96,35.29,32.96,34.23,34378700.0
2024-04-09,34.18,34.68,33.0,33.42,23976400.0
2024-04-10,33.02,33.31,31.78,32.38,24010100.0
2024-04-11,32.66,33.44,32.55,32.7,24826000.0
2024-04-12,33.4,35.87,33.39,34.44,45746900.0
2024-04-15,34.13,36.02,34.13,35.11,34329700.0
2024-04-16,34.44,35.71,33.36,33.8,32046800.0
2024-04-17,34.44,35.72,33.81,35.43,30876000.0
2024-04-18,34.57,35.82,33.93,34.95,27429100.0
2024-04-19,34.57,35.52,33.16,34.08,29035200.0
2024-04-22,30.61,32.55,29.33,32.22,43242500.0
2024-04-23,33.68,34.94,33.58,34.2,44068300.0
2024-04-24,34.73,39.77,34.73,39.48,68268400.0
2024-04-25,39.23,39.96,38.93,39.36,31722700.0
2024-04-26,41.26,42.96,40.92,41.73,54454000.0
2024-04-29,42.34,44.0,42.34,43.52,39880500.0
2024-04-30,42.91,44.03,42.91,43.11,24575200.0
2024-05-06,44.13,44.25,41.98,42.79,25946200.0
2024-05-07,43.59,44.58,41.06,41.48,45454100.0
2024-05-08,41.48,42.36,41.09,41.65,25254000.0
2024-05-09,41.22,42.26,40.61,41.93,24335900.0
2024-05-10,41.32,42.07,40.41,41.75,24409300.0
2024-05-13,42.56,42.85,41.16,41.57,27296100.0
2024-05-14,41.82,42.03,39.13,39.87,37898300.0
2024-05-15,39.84,41.32,39.76,40.19,20324600.0
2024-05-16,41.82,42.51,41.01,41.19,34287100.0
2024-05-17,40.2,42.78,40.05,42.34,28825800.0
2024-05-20,41.36,45.23,41.23,44.96,38841000.0
2024-05-21,44.89,45.58,44.39,44.81,22934800.0
2024-05-22,44.49,44.89,43.42,44.21,21427200.0
2024-05-23,45.41,45.74,42.11,43.36,33839700.0
2024-05-24,43.69,46.51,42.24,42.5,45010600.0
2024-05-27,43.82,45.3,43.42,44.3,32446200.0
2024-05-28,43.88,45.85,43.36,44.11,32600000.0
2024-05-29,45.2,45.41,43.42,43.8,23238700.0
2024-05-30,43.37,44.02,42.45,43.16,19425300.0
2024-05-31,42.35,44.61,41.66,43.23,21592800.0
2024-06-03,43.88,48.46,43.82,47.63,44802900.0
2024-06-04,47.45,48.22,46.99,48.0,24003100.0
2024-06-05,47.97,48.21,46.45,46.59,17332800.0
2024-06-06,48.21,48.94,46.68,46.82,30703400.0
2024-06-07,46.41,46.81,44.69,45.47,23363800.0
2024-06-11,45.38,46.31,44.98,45.78,16590900.0
2024-06-12,45.41,46.22,45.09,45.79,15131500.0
2024-06-13,46.73,48.84,46.09,47.79,27738200.0
2024-06-14,47.7,56.8,47.55,54.33,56262900.0
2024-06-17,55.94,56.74,54.77,55.35,37337800.0
2024-06-18,55.35,60.03,55.35,57.75,38114700.0
2024-06-19,58.7,59.28,56.98,57.61,23050300.0
2024-06-20,58.07,58.74,56.65,56.68,21455300.0
2024-06-21,55.09,57.65,55.0,56.51,22598800.0
2024-06-24,55.98,57.44,55.2,55.66,18195700.0
2024-06-25,53.57,54.8,52.36,52.95,28626500.0
2024-06-26,54.12,55.33,53.88,54.39,27442800.0
2024-06-27,53.33,54.07,52.09,52.57,18740800.0
2024-06-28,52.39,54.01,52.2,52.83,19237600.0
2024-07-01,52.34,55.96,52.34,55.27,29510200.0
2024-07-02,55.28,57.65,54.17,56.6,31901200.0
2024-07-03,55.61,56.49,54.37,55.09,18968900.0
2024-07-04,56.63,58.46,56.02,56.29,27927400.0
2024-07-05,56.66,57.45,54.46,56.7,21323900.0
2024-07-08,56.2,57.87,56.08,56.94,19424400.0
2024-07-09,56.54,60.33,56.03,59.55,28571500.0
2024-07-10,59.4,60.51,58.58,59.97,20339700.0
2024-07-11,61.18,61.18,56.6,58.39,30582100.0
2024-07-12,55.94,57.56,55.2,56.89,20848000.0
2024-07-15,56.1,56.96,55.02,56.41,15642700.0
2024-07-16,58.75,59.06,55.26,57.21,28691100.0
2024-07-17,56.71,57.98,54.85,55.46,20586700.0
2024-07-18,54.16,54.84,51.16,54.58,34944100.0
2024-07-19,54.1,54.6,52.63,52.81,19781700.0
2024-07-22,53.1,53.64,52.05,52.68,14824500.0
2024-07-23,53.79,54.1,51.16,51.19,16476900.0
2024-07-24,50.84,53.14,50.36,50.62,19456600.0
2024-07-25,49.59,49.62,45.95,46.86,35545700.0
2024-07-26,46.86,48.44,46.26,47.71,20878200.0
2024-07-29,47.68,50.76,47.07,49.9,27150300.0
2024-07-30,49.06,49.6,48.1,48.9,15714500.0
2024-07-31,48.49,50.08,47.27,49.96,30782100.0
2024-08-01,52.53,53.49,50.82,50.97,27947500.0
2024-08-02,48.52,48.7,46.17,46.2,42753600.0
2024-08-05,43.37,45.53,42.57,42.68,42171200.0
2024-08-06,44.92,46.1,44.45,45.22,28564400.0
2024-08-07,44.97,46.81,44.37,45.83,26405900.0
2024-08-08,45.29,45.97,44.46,45.38,18191000.0
2024-08-09,46.77,48.03,46.25,46.95,27909300.0
2024-08-12,46.56,48.9,46.56,47.74,19597100.0
2024-08-13,48.22,49.74,47.35,48.03,20814500.0
2024-08-14,49.06,49.4,47.53,47.53,16275400.0
2024-08-15,47.37,48.14,47.01,47.32,12955300.0
2024-08-16,48.77,50.47,48.55,49.16,25327000.0
2024-08-19,49.19,50.94,48.6,49.87,18398400.0
2024-08-20,50.91,51.37,49.74,50.02,17226500.0
2024-08-21,49.06,51.06,48.83,50.29,15135500.0
2024-08-22,50.52,50.92,49.39,50.31,12028200.0
2024-08-23,49.85,50.18,49.11,49.56,12225400.0
2024-08-26,50.33,50.54,47.83,48.72,17459200.0
2024-08-27,48.19,49.88,47.53,48.84,14817200.0
2024-08-28,48.55,50.59,47.92,48.97,16080500.0
2024-08-29,45.93,46.49,43.71,45.79,30288400.0
2024-08-30,45.9,47.98,45.54,46.91,30804800.0
2024-09-02,46.99,47.35,44.08,44.2,26303400.0
2024-09-03,44.21,44.81,43.54,44.16,15217500.0
2024-09-04,41.61,44.91,41.04,44.06,26058200.0
2024-09-05,43.88,46.35,43.51,45.11,22213400.0
2024-09-06,44.92,45.41,43.93,44.27,13072900.0
2024-09-09,43.47,45.62,43.45,45.53,17718400.0
2024-09-10,45.23,47.53,45.01,46.31,26755600.0
2024-09-11,46.71,48.02,46.45,46.82,20512700.0
2024-09-12,48.56,49.22,47.63,47.64,22576800.0
2024-09-13,47.73,52.58,47.68,50.24,38327100.0
2024-09-18,49.77,51.04,49.57,49.86,17544200.0
2024-09-19,49.77,49.85,47.57,48.98,23358000.0
2024-09-20,49.41,49.49,47.68,47.91,16825200.0
2024-09-23,47.51,49.05,47.32,47.65,13134100.0
2024-09-24,47.69,53.14,47.69,52.78,32068700.0
2024-09-25,54.11,54.41,52.09,52.45,24847100.0
2024-09-26,52.7,55.23,52.46,55.16,22986200.0
2024-09-27,53.93,58.54,52.74,56.38,43903800.0
2024-09-30,56.71,65.38,56.2,65.37,54989700.0
2024-10-08,70.48,78.63,69.87,78.63,61422300.0
2024-10-09,75.08,80.79,71.51,74.82,61065900.0
2024-10-10,74.33,76.55,68.21,72.17,41939800.0
2024-10-11,70.49,77.12,70.39,72.52,33577400.0
2024-10-14,71.51,75.2,68.23,74.84,42355900.0
2024-10-15,73.86,75.54,71.45,71.45,34769500.0
2024-10-16,68.44,70.13,66.3,67.14,36576700.0
2024-10-17,67.93,68.79,67.0,67.61,25420100.0
2024-10-18,67.42,77.61,67.17,74.03,53841900.0
2024-10-21,74.51,74.83,68.85,71.22,51219400.0
2024-10-22,72.53,73.1,69.56,71.38,36862700.0
2024-10-23,67.53,70.65,65.82,68.1,37069500.0
2024-10-24,67.45,71.95,67.25,70.24,37532400.0
2024-10-25,73.95,74.56,70.49,71.84,43866600.0
2024-10-28,70.48,72.12,67.83,68.47,41480200.0
2024-10-29,67.42,67.92,64.8,65.64,40075800.0
2024-10-30,66.4,67.42,64.35,65.38,30589500.0
2024-10-31,63.85,67.6,63.38,65.47,32954700.0
2024-11-01,64.31,67.37,63.85,65.06,29794400.0
2024-11-04,64.87,68.18,64.87,66.29,24565300.0
2024-11-05,65.74,68.23,64.97,67.15,36752400.0
2024-11-06,67.42,67.51,63.39,64.1,42473000.0
2024-11-07,62.81,67.42,62.19,66.35,36197500.0
2024-11-08,67.47,71.26,65.26,65.34,49845400.0
2024-11-11,64.47,68.04,63.59,66.85,39368900.0
2024-11-12,66.91,68.89,65.64,66.76,37580500.0
2024-11-13,67.04,73.32,66.05,71.49,62294300.0
2024-11-14,70.32,71.04,68.18,68.49,35427300.0
2024-11-15,68.19,70.37,63.94,64.22,37069100.0
2024-11-18,63.2,64.28,59.87,60.79,33792500.0
2024-11-19,61.53,64.66,60.85,62.83,29520800.0
2024-11-20,62.83,65.15,62.45,63.58,26454900.0
2024-11-21,62.27,64.2,61.2,62.14,29990500.0
2024-11-22,61.7,63.09,59.26,59.26,29321500.0
2024-11-25,59.26,59.6,55.86,56.9,30294300.0
2024-11-26,56.71,59.08,56.2,57.96,24916300.0
2024-11-27,57.63,58.44,56.55,58.37,24978700.0
2024-11-28,58.23,58.23,55.93,56.14,28496600.0
2024-11-29,56.2,59.01,56.2,57.7,29771400.0
2024-12-02,58.61,61.28,57.75,60.64,35023900.0
2024-12-03,60.32,60.9,58.55,59.53,21310300.0
2024-12-04,58.97,59.92,58.39,58.92,16616800.0
2024-12-05,59.77,62.26,59.74,60.83,32474500.0
2024-12-06,60.54,62.3,60.54,60.74,20557900.0
2024-12-09,60.74,60.74,57.73,58.24,25647100.0
2024-12-10,60.06,60.47,57.57,58.67,30262500.0
2024-12-11,58.23,63.57,57.22,62.28,44009800.0
2024-12-12,62.32,66.4,62.32,65.37,41114300.0
2024-12-13,66.37,67.6,64.11,64.99,61489200.0
2024-12-16,66.96,67.83,62.71,66.49,46523900.0
2024-12-17,65.43,71.08,65.43,67.27,39211900.0
2024-12-18,66.91,67.32,63.34,64.63,27671200.0
2024-12-19,63.82,65.52,63.13,64.23,23008500.0
2024-12-20,63.91,66.81,63.67,64.69,24937400.0
2024-12-23,61.89,64.52,61.89,62.65,40187800.0
2024-12-24,63.09,63.22,59.32,61.3,31445600.0
2024-12-25,61.26,63.73,60.83,61.3,22108400.0
2024-12-26,61.3,65.79,60.29,64.84,34632200.0
2024-12-27,65.33,66.65,63.65,65.09,24748000.0
2024-12-30,64.87,65.17,60.38,60.51,34086600.0
2024-12-31,60.28,60.41,58.03,58.03,24357800.0
2025-01-02,57.73,59.48,56.45,56.95,20789900.0
2025-01-03,57.12,60.24,56.66,58.24,28492400.0
2025-01-06,59.13,60.78,57.73,58.76,23153500.0
2025-01-07,59.26,60.42,57.47,60.28,22602800.0
2025-01-08,58.76,59.22,57.2,58.76,18774500.0
2025-01-09,58.23,58.74,56.71,57.6,20423300.0
2025-01-10,57.07,57.1,54.29,54.29,28280900.0
2025-01-13,54.26,56.53,54.26,55.33,23443600.0
2025-01-14,55.07,57.13,53.24,57.06,28693000.0
2025-01-15,56.47,56.98,55.06,56.05,20087300.0
2025-01-16,56.71,60.3,56.1,59.61,42930000.0
2025-01-17,58.99,60.81,58.76,59.99,27000500.0
2025-01-20,60.76,65.02,60.76,64.18,32981100.0
2025-01-21,68.44,68.44,65.89,67.02,36418500.0
2025-01-22,69.56,72.57,68.96,71.25,45064300.0
2025-01-23,71.25,72.36,68.24,68.8,32827100.0
2025-01-24,68.81,69.17,67.45,67.67,23664200.0
2025-01-27,64.24,65.07,62.84,63.22,23485900.0
2025-02-05,59.26,59.26,51.19,51.36,53391500.0
2025-02-06,53.14,54.38,52.56,53.47,45227200.0
2025-02-07,54.16,58.0,54.16,56.91,41008000.0
2025-02-10,57.79,58.26,56.1,57.51,24688800.0
2025-02-11,57.77,59.03,57.1,58.01,20875400.0
2025-02-12,57.28,57.98,56.61,57.47,22440400.0
2025-02-13,56.89,57.12,55.4,55.44,21399500.0
2025-02-14,55.95,57.29,54.16,54.67,21620000.0
2025-02-17,55.68,62.43,55.64,61.96,46922000.0
2025-02-18,60.71,65.07,60.59,62.22,38382800.0
2025-02-19,61.79,62.19,59.95,60.98,27485200.0
2025-02-20,60.39,60.94,58.75,59.87,24414700.0
2025-02-21,59.88,62.57,59.17,60.81,37542100.0
2025-02-24,59.77,60.12,56.88,56.96,42723500.0
2025-02-25,55.28,56.52,54.97,55.54,26091100.0
2025-02-26,55.56,56.83,54.51,56.71,28102800.0
2025-02-27,56.71,57.38,52.63,53.33,44482300.0
